"region","occuptional  (SSYK 2012)","sex","2014","2015","2016","2017","2018"
"SE11 Stockholm","311 Physical and engineering science technicians","men",40300,40000,41300,42400,43600
"SE11 Stockholm","311 Physical and engineering science technicians","women",37300,36100,38800,37000,..
"SE12 East-Central Sweden","311 Physical and engineering science technicians","men",36800,37500,39700,40600,41200
"SE12 East-Central Sweden","311 Physical and engineering science technicians","women",34100,34900,38000,35700,34500
"SE21 Småland and islands","311 Physical and engineering science technicians","men",33700,34900,36100,37300,40500
"SE21 Småland and islands","311 Physical and engineering science technicians","women",29700,31900,32600,34300,36200
"SE22 South Sweden","311 Physical and engineering science technicians","men",36600,37800,38600,41500,42300
"SE22 South Sweden","311 Physical and engineering science technicians","women",34500,34900,36400,36800,38300
"SE23 West Sweden","311 Physical and engineering science technicians","men",36600,36300,38200,38700,40200
"SE23 West Sweden","311 Physical and engineering science technicians","women",34500,34700,36300,37900,36500
"SE31 North-Central Sweden","311 Physical and engineering science technicians","men",34900,34700,36400,37600,39100
"SE31 North-Central Sweden","311 Physical and engineering science technicians","women",32900,33800,34200,35000,36600
"SE32 Central Norrland","311 Physical and engineering science technicians","men",36100,37600,35700,38100,..
"SE32 Central Norrland","311 Physical and engineering science technicians","women",33900,36100,35200,35100,33600
"SE33 Upper Norrland","311 Physical and engineering science technicians","men",35100,35000,32500,36000,39400
"SE33 Upper Norrland","311 Physical and engineering science technicians","women",33700,33500,29900,34600,36500
