"occuptional  (SSYK 2012)","age","sex","2014","2015","2016","2017","2018"
"0000 All","total","total",39200,39900,40700,41700,42900
"011 Commissioned armed forces officers","total","total",..,..,..,..,..
"021 Non-commissioned armed forces officers","total","total",..,..,..,..,..
"031 Armed forces occupations, other ranks","total","total",..,..,..,..,..
"111 Legislators and senior officials","total","total",..,54000,56100,..,50200
"112 Managing directors and chief executives","total","total",73600,74200,72000,75800,77900
"121 Finance managers","total","total",59300,62600,64100,64200,69800
"122 Human resource managers","total","total",54100,56300,57800,61800,63600
"123 Administration and planning managers","total","total",59600,61300,66300,70000,68200
"124 Information, communication and public relations managers","total","total",60400,60200,61000,61600,65400
"125 Sales and marketing managers","total","total",57700,59500,63600,60100,63700
"129 Administration and service managers not elsewhere classified","total","total",51200,50000,52200,53200,53300
"131 Information and communications technology service managers","total","total",54500,55700,61500,60300,61700
"132 Supply, logistics and transport managers","total","total",45800,49400,51600,52500,53700
"133 Research and development managers","total","total",65800,66800,67900,67300,69300
"134 Architectural and engineering managers","total","total",56500,57400,58600,58000,63400
"135 Real estate and head of administration manager","total","total",50300,48500,48300,55900,52900
"136 Production managers in construction and mining","total","total",47200,49400,48600,50900,54300
"137 Production managers in manufacturing","total","total",46400,46900,46300,48900,49900
"138 Forestry and agricultural production managers","total","total",41100,..,47300,42600,48200
"141 Primary and secondary schools and adult education managers","total","total",42400,44000,45900,46900,49500
"142 Preschool managers","total","total",33200,34200,35700,34700,38500
"149 Education managers not elsewhere classified","total","total",..,..,37500,49100,47400
"151 Health care managers","total","total",42400,44500,45500,45500,47400
"152 Managers in social and curative care","total","total",36500,38400,37300,..,42200
"153 Elderly care managers","total","total",37700,44400,41500,40700,43000
"154 Managers and leaders within religious bodies","total","total",48700,53300,53700,52300,..
"159 Other social services managers","total","total",46200,45800,47300,49900,50900
"161 Financial and insurance managers","total","total",76700,77300,80100,86700,90600
"171 Hotel and conference managers","total","total",36100,34800,39800,39900,42700
"172 Restaurant managers","total","total",32700,31700,30700,31300,33000
"173 Retail and wholesale trade managers","total","total",38100,40000,41400,39100,44900
"174 Sports, leisure and wellness managers","total","total",31200,34500,29700,37500,35600
"179 Other services managers not elsewhere classified","total","total",39500,41700,41100,43200,44800
"211 Physicists and chemists","total","total",42500,43000,44500,44800,45400
"212 Mathematicians, actuaries and statisticians","total","total",50300,48800,50400,51900,55200
"213 Biologists, pharmacologists and specialists in agriculture and forestry","total","total",38100,39300,39800,39200,41200
"214 Engineering professionals","total","total",42800,43100,43700,44800,45900
"216 Architects and surveyors","total","total",38500,37800,39700,40400,39300
"217 Designers","total","total",33700,34800,35700,38000,37800
"218 Specialists within environmental and health protection","total","total",39800,39900,39800,43000,43700
"221 Medical doctors","total","total",71200,71400,64000,68700,64800
"222 Nursing professionals","total","total",35200,36300,37400,42100,44900
"223 Nursing professionals (cont.)","total","total",33400,35100,35100,36400,39300
"224 Psychologists and psychotherapists","total","total",36800,36700,37100,35900,40800
"225 Veterinarians","total","total",42800,40600,41500,43900,42600
"226 Dentists","total","total",42300,42100,42300,46200,46100
"227 Naprapaths, physiotherapists, occupational therapists","total","total",31000,30600,30100,31000,32000
"228 Specialists in health care not elsewhere classified","total","total",32800,34000,34700,36000,37200
"231 University and higher education teachers","total","total",41500,40900,41700,42800,45200
"232 Vocational education teachers","total","total",31000,32400,32900,32700,33400
"233 Secondary education teachers","total","total",31100,32000,31000,32200,34300
"234 Primary- and pre-school teachers ","total","total",27600,28900,30000,30700,31800
"235 Teaching professionals not elsewhere classified","total","total",33100,31900,30800,32300,32200
"241 Accountants, financial analysts and fund managers","total","total",45600,47000,47900,50600,49900
"242 Organisation analysts, policy administrators and human resource specialists","total","total",43500,43600,44700,44900,46800
"243 Marketing and public relations professionals","total","total",41800,41900,41000,42200,43500
"251 ICT architects, systems analysts and test managers","total","total",42100,43400,44400,44400,45600
"261 Legal professionals","total","total",52500,53300,52700,56300,56800
"262 Museum curators and librarians and related professionals","total","total",32900,32900,36300,37000,36400
"264 Authors, journalists and linguists","total","total",35500,35400,36300,36000,36300
"265 Creative and performing artists","total","total",31600,32600,33400,35900,35900
"266 Social work and counselling professionals","total","total",33100,33100,35200,37500,39200
"267 Religious professionals and deacons","total","total",34800,36100,37300,37400,39700
"311 Physical and engineering science technicians","total","total",36700,36900,38200,39200,41000
"312 Construction and manufacturing supervisors","total","total",35100,35900,36700,39200,39800
"315 Ship and aircraft controllers and technicians","total","total",50100,53200,50500,47600,51700
"321 Medical and pharmaceutical technicians","total","total",31700,33400,33900,34800,35600
"323 Complementary medicine therapists and associate professionals","total","total",..,..,..,..,..
"324 Veterinary assistants","total","total",25300,26000,26600,29000,27700
"325 Dental hygienists","total","total",29400,30400,30700,31400,31800
"331 Financial and accounting associate professionals","total","total",36000,37000,37300,37800,39100
"332 Insurance advisers, sales and purchasing agents","total","total",38500,39500,40600,41100,42300
