"occuptional  (SSYK 2012)","age","sex","2014","2015","2016","2017","2018"
"214 Engineering professionals","18-24 years","total",27700,29400,27700,30600,30700
"214 Engineering professionals","25-29 years","total",32200,32500,32800,33500,34700
"214 Engineering professionals","30-34 years","total",37800,38200,38100,38900,39700
"214 Engineering professionals","35-39 years","total",42100,42400,42500,43600,45500
"214 Engineering professionals","40-44 years","total",44600,45600,46200,47400,47800
"214 Engineering professionals","45-49 years","total",46400,46600,47700,49200,50500
"214 Engineering professionals","50-54 years","total",47600,46600,48300,49800,51100
"214 Engineering professionals","55-59 years","total",47600,48900,49700,49600,52000
"214 Engineering professionals","60-64 years","total",48100,48500,49200,49300,51600
"214 Engineering professionals","65-66 years","total",47300,..,51600,46600,50300
