"occuptional  (SSYK 2012)","age","sex","2014","2015","2016","2017","2018"
"011 Commissioned armed forces officers","18-24 years","men",..,..,..,..,..
"011 Commissioned armed forces officers","18-24 years","women",..,..,..,..,..
"011 Commissioned armed forces officers","25-29 years","men",..,..,..,..,..
"011 Commissioned armed forces officers","25-29 years","women",..,..,..,..,..
"011 Commissioned armed forces officers","30-34 years","men",..,..,..,..,..
"011 Commissioned armed forces officers","30-34 years","women",..,..,..,..,..
"011 Commissioned armed forces officers","35-39 years","men",..,..,..,..,..
"011 Commissioned armed forces officers","35-39 years","women",..,..,..,..,..
"011 Commissioned armed forces officers","40-44 years","men",..,..,..,..,..
"011 Commissioned armed forces officers","40-44 years","women",..,..,..,..,..
"011 Commissioned armed forces officers","45-49 years","men",..,..,..,..,..
"011 Commissioned armed forces officers","45-49 years","women",..,..,..,..,..
"011 Commissioned armed forces officers","50-54 years","men",..,..,..,..,..
"011 Commissioned armed forces officers","50-54 years","women",..,..,..,..,..
"011 Commissioned armed forces officers","55-59 years","men",..,..,..,..,..
"011 Commissioned armed forces officers","55-59 years","women",..,..,..,..,..
"011 Commissioned armed forces officers","60-64 years","men",..,..,..,..,..
"011 Commissioned armed forces officers","60-64 years","women",..,..,..,..,..
"011 Commissioned armed forces officers","65-66 years","men",..,..,..,..,..
"011 Commissioned armed forces officers","65-66 years","women",..,..,..,..,..
"021 Non-commissioned armed forces officers","18-24 years","men",..,..,..,..,..
"021 Non-commissioned armed forces officers","18-24 years","women",..,..,..,..,..
"021 Non-commissioned armed forces officers","25-29 years","men",..,..,..,..,..
"021 Non-commissioned armed forces officers","25-29 years","women",..,..,..,..,..
"021 Non-commissioned armed forces officers","30-34 years","men",..,..,..,..,..
"021 Non-commissioned armed forces officers","30-34 years","women",..,..,..,..,..
"021 Non-commissioned armed forces officers","35-39 years","men",..,..,..,..,..
"021 Non-commissioned armed forces officers","35-39 years","women",..,..,..,..,..
"021 Non-commissioned armed forces officers","40-44 years","men",..,..,..,..,..
"021 Non-commissioned armed forces officers","40-44 years","women",..,..,..,..,..
"021 Non-commissioned armed forces officers","45-49 years","men",..,..,..,..,..
"021 Non-commissioned armed forces officers","45-49 years","women",..,..,..,..,..
"021 Non-commissioned armed forces officers","50-54 years","men",..,..,..,..,..
"021 Non-commissioned armed forces officers","50-54 years","women",..,..,..,..,..
"021 Non-commissioned armed forces officers","55-59 years","men",..,..,..,..,..
"021 Non-commissioned armed forces officers","55-59 years","women",..,..,..,..,..
"021 Non-commissioned armed forces officers","60-64 years","men",..,..,..,..,..
"021 Non-commissioned armed forces officers","60-64 years","women",..,..,..,..,..
"021 Non-commissioned armed forces officers","65-66 years","men",..,..,..,..,..
"021 Non-commissioned armed forces officers","65-66 years","women",..,..,..,..,..
"031 Armed forces occupations, other ranks","18-24 years","men",..,..,..,..,..
"031 Armed forces occupations, other ranks","18-24 years","women",..,..,..,..,..
"031 Armed forces occupations, other ranks","25-29 years","men",..,..,..,..,..
"031 Armed forces occupations, other ranks","25-29 years","women",..,..,..,..,..
"031 Armed forces occupations, other ranks","30-34 years","men",..,..,..,..,..
"031 Armed forces occupations, other ranks","30-34 years","women",..,..,..,..,..
"031 Armed forces occupations, other ranks","35-39 years","men",..,..,..,..,..
"031 Armed forces occupations, other ranks","35-39 years","women",..,..,..,..,..
"031 Armed forces occupations, other ranks","40-44 years","men",..,..,..,..,..
"031 Armed forces occupations, other ranks","40-44 years","women",..,..,..,..,..
"031 Armed forces occupations, other ranks","45-49 years","men",..,..,..,..,..
"031 Armed forces occupations, other ranks","45-49 years","women",..,..,..,..,..
"031 Armed forces occupations, other ranks","50-54 years","men",..,..,..,..,..
"031 Armed forces occupations, other ranks","50-54 years","women",..,..,..,..,..
"031 Armed forces occupations, other ranks","55-59 years","men",..,..,..,..,..
"031 Armed forces occupations, other ranks","55-59 years","women",..,..,..,..,..
"031 Armed forces occupations, other ranks","60-64 years","men",..,..,..,..,..
"031 Armed forces occupations, other ranks","60-64 years","women",..,..,..,..,..
"031 Armed forces occupations, other ranks","65-66 years","men",..,..,..,..,..
"031 Armed forces occupations, other ranks","65-66 years","women",..,..,..,..,..
"111 Legislators and senior officials","18-24 years","men",..,..,..,..,..
"111 Legislators and senior officials","18-24 years","women",..,..,..,..,..
"111 Legislators and senior officials","25-29 years","men",..,..,..,..,..
"111 Legislators and senior officials","25-29 years","women",..,..,..,..,..
"111 Legislators and senior officials","30-34 years","men",..,..,..,..,..
"111 Legislators and senior officials","30-34 years","women",..,..,..,..,..
"111 Legislators and senior officials","35-39 years","men",..,..,..,..,..
"111 Legislators and senior officials","35-39 years","women",..,..,..,..,..
"111 Legislators and senior officials","40-44 years","men",..,..,..,..,..
"111 Legislators and senior officials","40-44 years","women",..,..,..,..,..
"111 Legislators and senior officials","45-49 years","men",..,..,..,..,..
"111 Legislators and senior officials","45-49 years","women",..,..,..,..,..
"111 Legislators and senior officials","50-54 years","men",..,..,..,..,..
"111 Legislators and senior officials","50-54 years","women",..,..,..,..,..
"111 Legislators and senior officials","55-59 years","men",..,..,..,..,..
"111 Legislators and senior officials","55-59 years","women",..,..,..,..,..
"111 Legislators and senior officials","60-64 years","men",..,..,..,..,..
"111 Legislators and senior officials","60-64 years","women",..,..,..,..,..
"111 Legislators and senior officials","65-66 years","men",..,..,..,..,..
"111 Legislators and senior officials","65-66 years","women",..,..,..,..,..
"112 Managing directors and chief executives","18-24 years","men",..,..,..,..,..
"112 Managing directors and chief executives","18-24 years","women",..,..,..,..,..
"112 Managing directors and chief executives","25-29 years","men",..,..,..,..,..
"112 Managing directors and chief executives","25-29 years","women",..,..,..,..,..
"112 Managing directors and chief executives","30-34 years","men",..,..,..,..,..
"112 Managing directors and chief executives","30-34 years","women",..,..,..,..,..
"112 Managing directors and chief executives","35-39 years","men",..,..,..,62100,60000
"112 Managing directors and chief executives","35-39 years","women",..,..,..,..,..
"112 Managing directors and chief executives","40-44 years","men",68800,64400,68300,81700,76900
"112 Managing directors and chief executives","40-44 years","women",63400,65000,..,74300,77800
"112 Managing directors and chief executives","45-49 years","men",77600,77000,72600,84200,85600
