"region","sector","occuptional  (SSYK 2012)","sex","2014","2015","2016","2017","2018"
"SE11 Stockholm","0 all sectors","311 Physical and engineering science technicians","men",17700,18700,18200,16600,19900
"SE11 Stockholm","0 all sectors","311 Physical and engineering science technicians","women",3900,4900,4600,6000,7100
"SE12 East-Central Sweden","0 all sectors","311 Physical and engineering science technicians","men",13700,13800,16500,16100,17900
"SE12 East-Central Sweden","0 all sectors","311 Physical and engineering science technicians","women",2800,..,3500,3500,4200
"SE21 Småland and islands","0 all sectors","311 Physical and engineering science technicians","men",5400,5000,4600,5600,7100
"SE21 Småland and islands","0 all sectors","311 Physical and engineering science technicians","women",..,830,870,1000,1300
"SE22 South Sweden","0 all sectors","311 Physical and engineering science technicians","men",8300,9200,10200,10100,10400
"SE22 South Sweden","0 all sectors","311 Physical and engineering science technicians","women",1900,2100,1900,2200,2400
"SE23 West Sweden","0 all sectors","311 Physical and engineering science technicians","men",18500,18300,18500,18700,19500
"SE23 West Sweden","0 all sectors","311 Physical and engineering science technicians","women",3700,3900,4300,4400,5400
"SE31 North-Central Sweden","0 all sectors","311 Physical and engineering science technicians","men",5500,5800,6000,5800,5700
"SE31 North-Central Sweden","0 all sectors","311 Physical and engineering science technicians","women",1200,1200,1400,1400,1300
"SE32 Central Norrland","0 all sectors","311 Physical and engineering science technicians","men",2800,..,2400,3000,2800
"SE32 Central Norrland","0 all sectors","311 Physical and engineering science technicians","women",510,560,450,510,770
"SE33 Upper Norrland","0 all sectors","311 Physical and engineering science technicians","men",3400,4600,5500,5000,5100
"SE33 Upper Norrland","0 all sectors","311 Physical and engineering science technicians","women",510,670,..,920,..
