"sector","occuptional  (SSYK 2012)","sex","level of education","2014","2015","2016","2017","2018"
"0 all sectors","214 Engineering professionals","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","214 Engineering professionals","men","primary and secondary education 9-10 years (ISCED97 2)",680,750,850,810,1000
"0 all sectors","214 Engineering professionals","men","upper secondary education, 2 years or less (ISCED97 3C)",4500,5900,4700,5000,4800
"0 all sectors","214 Engineering professionals","men","upper secondary education 3 years (ISCED97 3A)",5200,5300,5700,5900,6300
"0 all sectors","214 Engineering professionals","men","post-secondary education, less than 3 years (ISCED97 4+5B)",15000,15200,15100,17500,17800
"0 all sectors","214 Engineering professionals","men","post-secondary education 3 years or more (ISCED97 5A)",36100,36100,37100,40200,39200
"0 all sectors","214 Engineering professionals","men","post-graduate education (ISCED97 6)",4300,4000,4000,4100,3900
"0 all sectors","214 Engineering professionals","men","no information about level of educational attainment",700,650,630,690,690
"0 all sectors","214 Engineering professionals","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","214 Engineering professionals","women","primary and secondary education 9-10 years (ISCED97 2)",..,120,120,130,140
"0 all sectors","214 Engineering professionals","women","upper secondary education, 2 years or less (ISCED97 3C)",560,530,550,720,570
"0 all sectors","214 Engineering professionals","women","upper secondary education 3 years (ISCED97 3A)",820,920,1100,1500,1300
"0 all sectors","214 Engineering professionals","women","post-secondary education, less than 3 years (ISCED97 4+5B)",2200,2700,3100,3400,3300
"0 all sectors","214 Engineering professionals","women","post-secondary education 3 years or more (ISCED97 5A)",12700,13000,13400,15300,15700
"0 all sectors","214 Engineering professionals","women","post-graduate education (ISCED97 6)",1300,1300,1200,1300,1500
"0 all sectors","214 Engineering professionals","women","no information about level of educational attainment",130,..,210,..,250
"1-3 public sector","214 Engineering professionals","men","primary and secondary education less than 9 years (ISCED97 1)",0,0,0,0,0
"1-3 public sector","214 Engineering professionals","men","primary and secondary education 9-10 years (ISCED97 2)",10,10,10,10,20
"1-3 public sector","214 Engineering professionals","men","upper secondary education, 2 years or less (ISCED97 3C)",150,150,140,170,190
"1-3 public sector","214 Engineering professionals","men","upper secondary education 3 years (ISCED97 3A)",140,140,120,160,170
"1-3 public sector","214 Engineering professionals","men","post-secondary education, less than 3 years (ISCED97 4+5B)",500,490,450,510,540
"1-3 public sector","214 Engineering professionals","men","post-secondary education 3 years or more (ISCED97 5A)",1000,1000,970,1100,1100
"1-3 public sector","214 Engineering professionals","men","post-graduate education (ISCED97 6)",380,390,70,110,110
"1-3 public sector","214 Engineering professionals","men","no information about level of educational attainment",60,40,0,0,0
"1-3 public sector","214 Engineering professionals","women","primary and secondary education less than 9 years (ISCED97 1)",0,0,0,0,0
"1-3 public sector","214 Engineering professionals","women","primary and secondary education 9-10 years (ISCED97 2)",10,0,0,0,0
"1-3 public sector","214 Engineering professionals","women","upper secondary education, 2 years or less (ISCED97 3C)",10,10,10,10,10
"1-3 public sector","214 Engineering professionals","women","upper secondary education 3 years (ISCED97 3A)",30,30,30,30,30
"1-3 public sector","214 Engineering professionals","women","post-secondary education, less than 3 years (ISCED97 4+5B)",80,80,70,80,80
"1-3 public sector","214 Engineering professionals","women","post-secondary education 3 years or more (ISCED97 5A)",450,470,370,420,470
"1-3 public sector","214 Engineering professionals","women","post-graduate education (ISCED97 6)",170,140,30,40,50
"1-3 public sector","214 Engineering professionals","women","no information about level of educational attainment",10,10,0,0,0
"1 central government","214 Engineering professionals","men","primary and secondary education less than 9 years (ISCED97 1)",0,0,0,0,0
"1 central government","214 Engineering professionals","men","primary and secondary education 9-10 years (ISCED97 2)",10,10,10,10,20
"1 central government","214 Engineering professionals","men","upper secondary education, 2 years or less (ISCED97 3C)",150,150,140,170,190
"1 central government","214 Engineering professionals","men","upper secondary education 3 years (ISCED97 3A)",140,140,120,160,170
"1 central government","214 Engineering professionals","men","post-secondary education, less than 3 years (ISCED97 4+5B)",500,490,450,510,540
"1 central government","214 Engineering professionals","men","post-secondary education 3 years or more (ISCED97 5A)",1000,1000,970,1100,1100
"1 central government","214 Engineering professionals","men","post-graduate education (ISCED97 6)",380,390,70,110,110
"1 central government","214 Engineering professionals","men","no information about level of educational attainment",60,40,0,0,0
"1 central government","214 Engineering professionals","women","primary and secondary education less than 9 years (ISCED97 1)",0,0,0,0,0
"1 central government","214 Engineering professionals","women","primary and secondary education 9-10 years (ISCED97 2)",10,0,0,0,0
"1 central government","214 Engineering professionals","women","upper secondary education, 2 years or less (ISCED97 3C)",10,10,10,10,10
"1 central government","214 Engineering professionals","women","upper secondary education 3 years (ISCED97 3A)",30,30,30,30,30
"1 central government","214 Engineering professionals","women","post-secondary education, less than 3 years (ISCED97 4+5B)",80,80,70,80,80
"1 central government","214 Engineering professionals","women","post-secondary education 3 years or more (ISCED97 5A)",450,470,370,420,470
"1 central government","214 Engineering professionals","women","post-graduate education (ISCED97 6)",170,140,30,40,50
"1 central government","214 Engineering professionals","women","no information about level of educational attainment",10,10,0,0,0
"2 primary municipalities","214 Engineering professionals","men","primary and secondary education less than 9 years (ISCED97 1)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","men","primary and secondary education 9-10 years (ISCED97 2)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","men","upper secondary education, 2 years or less (ISCED97 3C)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","men","upper secondary education 3 years (ISCED97 3A)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","men","post-secondary education, less than 3 years (ISCED97 4+5B)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","men","post-secondary education 3 years or more (ISCED97 5A)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","men","post-graduate education (ISCED97 6)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","men","no information about level of educational attainment",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","women","primary and secondary education less than 9 years (ISCED97 1)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","women","primary and secondary education 9-10 years (ISCED97 2)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","women","upper secondary education, 2 years or less (ISCED97 3C)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","women","upper secondary education 3 years (ISCED97 3A)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","women","post-secondary education, less than 3 years (ISCED97 4+5B)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","women","post-secondary education 3 years or more (ISCED97 5A)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","women","post-graduate education (ISCED97 6)",0,0,0,0,0
"2 primary municipalities","214 Engineering professionals","women","no information about level of educational attainment",0,0,0,0,0
"3 county council sector","214 Engineering professionals","men","primary and secondary education less than 9 years (ISCED97 1)",0,0,0,0,0
"3 county council sector","214 Engineering professionals","men","primary and secondary education 9-10 years (ISCED97 2)",0,0,0,0,0
"3 county council sector","214 Engineering professionals","men","upper secondary education, 2 years or less (ISCED97 3C)",0,0,0,0,0
"3 county council sector","214 Engineering professionals","men","upper secondary education 3 years (ISCED97 3A)",0,0,0,0,0
