"sector","occuptional  (SSYK 2012)","sex","level of education","2014","2015","2016","2017","2018"
"5 non-manual workers private sector","214 Engineering professionals","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"5 non-manual workers private sector","214 Engineering professionals","men","primary and secondary education 9-10 years (ISCED97 2)",38800,39400,41000,41900,42000
"5 non-manual workers private sector","214 Engineering professionals","men","upper secondary education, 2 years or less (ISCED97 3C)",40900,37700,42000,43800,45400
"5 non-manual workers private sector","214 Engineering professionals","men","upper secondary education 3 years (ISCED97 3A)",40500,41500,41000,42400,43800
"5 non-manual workers private sector","214 Engineering professionals","men","post-secondary education, less than 3 years (ISCED97 4+5B)",42000,42400,42800,44100,45200
"5 non-manual workers private sector","214 Engineering professionals","men","post-secondary education 3 years or more (ISCED97 5A)",43900,44800,44800,45800,47200
"5 non-manual workers private sector","214 Engineering professionals","men","post-graduate education (ISCED97 6)",49300,50300,52100,52200,52400
"5 non-manual workers private sector","214 Engineering professionals","men","no information about level of educational attainment",45800,49000,46200,47500,47800
"5 non-manual workers private sector","214 Engineering professionals","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"5 non-manual workers private sector","214 Engineering professionals","women","primary and secondary education 9-10 years (ISCED97 2)",..,36800,38000,..,..
"5 non-manual workers private sector","214 Engineering professionals","women","upper secondary education, 2 years or less (ISCED97 3C)",35200,35900,36900,37900,39800
"5 non-manual workers private sector","214 Engineering professionals","women","upper secondary education 3 years (ISCED97 3A)",39100,38100,36500,39300,42900
"5 non-manual workers private sector","214 Engineering professionals","women","post-secondary education, less than 3 years (ISCED97 4+5B)",38700,41000,41500,42200,43200
"5 non-manual workers private sector","214 Engineering professionals","women","post-secondary education 3 years or more (ISCED97 5A)",41100,41200,42300,43600,43900
"5 non-manual workers private sector","214 Engineering professionals","women","post-graduate education (ISCED97 6)",45600,46900,47200,48500,48800
"5 non-manual workers private sector","214 Engineering professionals","women","no information about level of educational attainment",43800,43700,39400,35300,43800
