"sector","occuptional  (SSYK 2012)","sex","level of education","2014","2015","2016","2017","2018"
"5 non-manual workers private sector","311 Physical and engineering science technicians","men","primary and secondary education less than 9 years (ISCED97 1)",33700,29200,..,..,..
"5 non-manual workers private sector","311 Physical and engineering science technicians","men","primary and secondary education 9-10 years (ISCED97 2)",33600,34700,34400,36400,39700
"5 non-manual workers private sector","311 Physical and engineering science technicians","men","upper secondary education, 2 years or less (ISCED97 3C)",35700,36500,37300,38800,40500
"5 non-manual workers private sector","311 Physical and engineering science technicians","men","upper secondary education 3 years (ISCED97 3A)",34400,35000,35400,37400,38800
"5 non-manual workers private sector","311 Physical and engineering science technicians","men","post-secondary education, less than 3 years (ISCED97 4+5B)",38500,38300,40100,40700,42000
"5 non-manual workers private sector","311 Physical and engineering science technicians","men","post-secondary education 3 years or more (ISCED97 5A)",39700,39400,40900,42100,44700
"5 non-manual workers private sector","311 Physical and engineering science technicians","men","post-graduate education (ISCED97 6)",50400,52200,51400,51700,51200
"5 non-manual workers private sector","311 Physical and engineering science technicians","men","no information about level of educational attainment",44000,44600,45100,43000,38100
"5 non-manual workers private sector","311 Physical and engineering science technicians","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"5 non-manual workers private sector","311 Physical and engineering science technicians","women","primary and secondary education 9-10 years (ISCED97 2)",29500,30700,30900,25500,26700
"5 non-manual workers private sector","311 Physical and engineering science technicians","women","upper secondary education, 2 years or less (ISCED97 3C)",31600,32800,33200,34500,..
"5 non-manual workers private sector","311 Physical and engineering science technicians","women","upper secondary education 3 years (ISCED97 3A)",31500,31600,32500,33600,32800
"5 non-manual workers private sector","311 Physical and engineering science technicians","women","post-secondary education, less than 3 years (ISCED97 4+5B)",34100,35700,36400,35600,36100
"5 non-manual workers private sector","311 Physical and engineering science technicians","women","post-secondary education 3 years or more (ISCED97 5A)",36700,37000,38700,39300,39900
"5 non-manual workers private sector","311 Physical and engineering science technicians","women","post-graduate education (ISCED97 6)",43000,44700,44600,46300,47100
"5 non-manual workers private sector","311 Physical and engineering science technicians","women","no information about level of educational attainment",..,..,..,..,42900
