"region","occupation (SSYK 2012)","age","sex","2014","2015","2016","2017"
"01 Stockholm county","311 Physical and engineering science technicians","16-24 years","men",467,442,480,555
"01 Stockholm county","311 Physical and engineering science technicians","16-24 years","women",166,136,182,254
"01 Stockholm county","311 Physical and engineering science technicians","25-29 years","men",1367,1427,1716,1894
"01 Stockholm county","311 Physical and engineering science technicians","25-29 years","women",538,588,743,835
"01 Stockholm county","311 Physical and engineering science technicians","30-34 years","men",1884,1929,2021,2199
"01 Stockholm county","311 Physical and engineering science technicians","30-34 years","women",671,668,759,813
"01 Stockholm county","311 Physical and engineering science technicians","35-39 years","men",1964,1926,2018,2028
"01 Stockholm county","311 Physical and engineering science technicians","35-39 years","women",609,635,665,723
"01 Stockholm county","311 Physical and engineering science technicians","40-44 years","men",2401,2405,2438,2351
"01 Stockholm county","311 Physical and engineering science technicians","40-44 years","women",691,682,668,663
"01 Stockholm county","311 Physical and engineering science technicians","45-49 years","men",2452,2470,2450,2434
"01 Stockholm county","311 Physical and engineering science technicians","45-49 years","women",615,673,714,698
"01 Stockholm county","311 Physical and engineering science technicians","50-54 years","men",2215,2373,2514,2619
"01 Stockholm county","311 Physical and engineering science technicians","50-54 years","women",418,463,511,539
"01 Stockholm county","311 Physical and engineering science technicians","55-59 years","men",1741,1841,1893,2009
"01 Stockholm county","311 Physical and engineering science technicians","55-59 years","women",266,299,348,365
"01 Stockholm county","311 Physical and engineering science technicians","60-64 years","men",1281,1321,1410,1432
"01 Stockholm county","311 Physical and engineering science technicians","60-64 years","women",157,175,180,206
"03 Uppsala county","311 Physical and engineering science technicians","16-24 years","men",58,50,65,90
"03 Uppsala county","311 Physical and engineering science technicians","16-24 years","women",16,12,26,27
"03 Uppsala county","311 Physical and engineering science technicians","25-29 years","men",209,201,245,313
"03 Uppsala county","311 Physical and engineering science technicians","25-29 years","women",68,55,70,95
"03 Uppsala county","311 Physical and engineering science technicians","30-34 years","men",252,254,271,306
"03 Uppsala county","311 Physical and engineering science technicians","30-34 years","women",74,68,79,96
"03 Uppsala county","311 Physical and engineering science technicians","35-39 years","men",307,308,306,303
"03 Uppsala county","311 Physical and engineering science technicians","35-39 years","women",97,85,84,99
"03 Uppsala county","311 Physical and engineering science technicians","40-44 years","men",318,306,341,357
"03 Uppsala county","311 Physical and engineering science technicians","40-44 years","women",109,91,89,92
"03 Uppsala county","311 Physical and engineering science technicians","45-49 years","men",398,352,371,381
"03 Uppsala county","311 Physical and engineering science technicians","45-49 years","women",87,90,85,98
"03 Uppsala county","311 Physical and engineering science technicians","50-54 years","men",318,352,385,435
"03 Uppsala county","311 Physical and engineering science technicians","50-54 years","women",71,69,72,97
"03 Uppsala county","311 Physical and engineering science technicians","55-59 years","men",268,257,308,309
"03 Uppsala county","311 Physical and engineering science technicians","55-59 years","women",50,47,44,43
"03 Uppsala county","311 Physical and engineering science technicians","60-64 years","men",224,217,237,289
"03 Uppsala county","311 Physical and engineering science technicians","60-64 years","women",38,36,35,38
"04 Södermanland county","311 Physical and engineering science technicians","16-24 years","men",44,30,37,37
"04 Södermanland county","311 Physical and engineering science technicians","16-24 years","women",15,9,10,15
"04 Södermanland county","311 Physical and engineering science technicians","25-29 years","men",145,133,148,134
"04 Södermanland county","311 Physical and engineering science technicians","25-29 years","women",42,32,32,28
"04 Södermanland county","311 Physical and engineering science technicians","30-34 years","men",213,196,200,207
"04 Södermanland county","311 Physical and engineering science technicians","30-34 years","women",65,54,62,55
"04 Södermanland county","311 Physical and engineering science technicians","35-39 years","men",304,279,279,273
"04 Södermanland county","311 Physical and engineering science technicians","35-39 years","women",77,69,60,64
"04 Södermanland county","311 Physical and engineering science technicians","40-44 years","men",332,299,330,315
"04 Södermanland county","311 Physical and engineering science technicians","40-44 years","women",107,103,94,79
"04 Södermanland county","311 Physical and engineering science technicians","45-49 years","men",368,348,393,369
"04 Södermanland county","311 Physical and engineering science technicians","45-49 years","women",90,85,91,85
"04 Södermanland county","311 Physical and engineering science technicians","50-54 years","men",312,336,367,360
"04 Södermanland county","311 Physical and engineering science technicians","50-54 years","women",85,72,82,77
"04 Södermanland county","311 Physical and engineering science technicians","55-59 years","men",284,292,315,314
"04 Södermanland county","311 Physical and engineering science technicians","55-59 years","women",44,47,49,49
"04 Södermanland county","311 Physical and engineering science technicians","60-64 years","men",236,236,244,254
"04 Södermanland county","311 Physical and engineering science technicians","60-64 years","women",29,28,28,31
"05 Östergötland county","311 Physical and engineering science technicians","16-24 years","men",133,133,136,154
"05 Östergötland county","311 Physical and engineering science technicians","16-24 years","women",29,27,30,45
"05 Östergötland county","311 Physical and engineering science technicians","25-29 years","men",272,295,347,369
"05 Östergötland county","311 Physical and engineering science technicians","25-29 years","women",79,70,93,117
"05 Östergötland county","311 Physical and engineering science technicians","30-34 years","men",407,349,388,429
"05 Östergötland county","311 Physical and engineering science technicians","30-34 years","women",117,108,96,112
"05 Östergötland county","311 Physical and engineering science technicians","35-39 years","men",507,463,428,436
"05 Östergötland county","311 Physical and engineering science technicians","35-39 years","women",134,117,94,107
"05 Östergötland county","311 Physical and engineering science technicians","40-44 years","men",591,557,534,511
"05 Östergötland county","311 Physical and engineering science technicians","40-44 years","women",130,139,127,101
"05 Östergötland county","311 Physical and engineering science technicians","45-49 years","men",697,615,615,589
