"region","occupation (SSYK 2012)","sex","2014","2015","2016","2017"
"01 Stockholm county","011 Commissioned armed forces officers","men",195,334,304,282
"01 Stockholm county","011 Commissioned armed forces officers","women",14,18,22,19
"01 Stockholm county","021 Non-commissioned armed forces officers","men",455,297,271,250
"01 Stockholm county","021 Non-commissioned armed forces officers","women",30,19,12,17
"01 Stockholm county","031 Armed forces occupations, other ranks","men",1644,1729,1623,1698
"01 Stockholm county","031 Armed forces occupations, other ranks","women",199,195,204,195
"01 Stockholm county","111 Legislators and senior officials","men",716,627,672,654
"01 Stockholm county","111 Legislators and senior officials","women",672,631,706,720
"01 Stockholm county","112 Managing directors and chief executives","men",6426,6467,6923,6483
"01 Stockholm county","112 Managing directors and chief executives","women",1532,1585,1746,1722
"01 Stockholm county","121 Finance managers","men",3097,3141,3226,3475
"01 Stockholm county","121 Finance managers","women",3413,3502,3536,3749
"01 Stockholm county","122 Human resource managers","men",851,855,916,914
"01 Stockholm county","122 Human resource managers","women",1956,2006,2154,2365
"01 Stockholm county","123 Administration and planning managers","men",1894,1987,2110,2243
"01 Stockholm county","123 Administration and planning managers","women",1370,1363,1478,1638
"01 Stockholm county","124 Information, communication and public relations managers","men",717,747,900,991
"01 Stockholm county","124 Information, communication and public relations managers","women",1014,1021,1108,1259
"01 Stockholm county","125 Sales and marketing managers","men",8641,8735,8926,9389
"01 Stockholm county","125 Sales and marketing managers","women",4036,4180,4058,4307
"01 Stockholm county","129 Administration and service managers not elsewhere classified","men",3875,3996,4336,4656
"01 Stockholm county","129 Administration and service managers not elsewhere classified","women",3176,3267,3679,4002
"01 Stockholm county","131 Information and communications technology service managers","men",3888,3965,3828,4117
"01 Stockholm county","131 Information and communications technology service managers","women",1349,1376,1205,1288
"01 Stockholm county","132 Supply, logistics and transport managers","men",1979,2070,2157,2167
"01 Stockholm county","132 Supply, logistics and transport managers","women",648,698,709,758
"01 Stockholm county","133 Research and development managers","men",1384,1429,1576,1546
"01 Stockholm county","133 Research and development managers","women",447,503,594,662
"01 Stockholm county","134 Architectural and engineering managers","men",1495,1585,1778,1884
"01 Stockholm county","134 Architectural and engineering managers","women",745,804,813,947
"01 Stockholm county","135 Real estate and head of administration manager","men",723,790,910,937
"01 Stockholm county","135 Real estate and head of administration manager","women",248,288,334,331
"01 Stockholm county","136 Production managers in construction and mining","men",3718,3821,4166,4404
"01 Stockholm county","136 Production managers in construction and mining","women",416,436,467,566
"01 Stockholm county","137 Production managers in manufacturing","men",1840,1900,1951,1957
"01 Stockholm county","137 Production managers in manufacturing","women",452,508,522,547
"01 Stockholm county","138 Forestry and agricultural production managers","men",14,12,16,19
"01 Stockholm county","138 Forestry and agricultural production managers","women",10,12,15,18
"01 Stockholm county","141 Primary and secondary schools and adult education managers","men",790,762,749,729
"01 Stockholm county","141 Primary and secondary schools and adult education managers","women",1585,1590,1602,1622
"01 Stockholm county","142 Preschool managers","men",122,122,98,99
"01 Stockholm county","142 Preschool managers","women",991,1001,1070,1075
"01 Stockholm county","149 Education managers not elsewhere classified","men",125,148,177,196
"01 Stockholm county","149 Education managers not elsewhere classified","women",128,149,190,216
"01 Stockholm county","151 Health care managers","men",690,689,749,745
"01 Stockholm county","151 Health care managers","women",1959,2065,2262,2393
"01 Stockholm county","152 Managers in social and curative care","men",210,232,309,309
"01 Stockholm county","152 Managers in social and curative care","women",692,748,852,967
"01 Stockholm county","153 Elderly care managers","men",197,225,208,205
"01 Stockholm county","153 Elderly care managers","women",1127,1173,1253,1184
"01 Stockholm county","154 Managers and leaders within religious bodies","men",81,77,70,57
"01 Stockholm county","154 Managers and leaders within religious bodies","women",33,43,46,46
"01 Stockholm county","159 Other social services managers","men",2439,2486,2400,2623
"01 Stockholm county","159 Other social services managers","women",2264,2340,2355,2527
"01 Stockholm county","161 Financial and insurance managers","men",2233,2211,1993,1948
"01 Stockholm county","161 Financial and insurance managers","women",1177,1230,1168,1164
"01 Stockholm county","171 Hotel and conference managers","men",146,171,167,190
"01 Stockholm county","171 Hotel and conference managers","women",222,241,290,316
"01 Stockholm county","172 Restaurant managers","men",1314,1409,1591,1617
"01 Stockholm county","172 Restaurant managers","women",783,856,959,992
"01 Stockholm county","173 Retail and wholesale trade managers","men",1730,1780,2058,2012
"01 Stockholm county","173 Retail and wholesale trade managers","women",854,860,964,948
"01 Stockholm county","174 Sports, leisure and wellness managers","men",127,131,196,210
"01 Stockholm county","174 Sports, leisure and wellness managers","women",124,118,165,179
"01 Stockholm county","179 Other services managers not elsewhere classified","men",990,1038,1102,1146
"01 Stockholm county","179 Other services managers not elsewhere classified","women",576,653,700,679
"01 Stockholm county","211 Physicists and chemists","men",1048,1105,1116,1110
"01 Stockholm county","211 Physicists and chemists","women",646,712,729,727
"01 Stockholm county","212 Mathematicians, actuaries and statisticians","men",653,674,757,838
"01 Stockholm county","212 Mathematicians, actuaries and statisticians","women",507,511,564,629
"01 Stockholm county","213 Biologists, pharmacologists and specialists in agriculture and forestry","men",540,674,626,688
"01 Stockholm county","213 Biologists, pharmacologists and specialists in agriculture and forestry","women",882,960,964,971
"01 Stockholm county","214 Engineering professionals","men",18181,18234,19015,19505
"01 Stockholm county","214 Engineering professionals","women",6312,6467,7082,7569
"01 Stockholm county","216 Architects and surveyors","men",1774,1868,2015,2256
"01 Stockholm county","216 Architects and surveyors","women",1969,2158,2409,2751
"01 Stockholm county","217 Designers","men",2957,3107,3503,3793
"01 Stockholm county","217 Designers","women",2768,2738,2926,3215
"01 Stockholm county","218 Specialists within environmental and health protection","men",662,657,633,687
"01 Stockholm county","218 Specialists within environmental and health protection","women",961,923,1060,1146
"01 Stockholm county","221 Medical doctors","men",4338,4190,4218,4253
"01 Stockholm county","221 Medical doctors","women",5306,5115,5137,5283
"01 Stockholm county","222 Nursing professionals","men",1763,1815,1884,1952
"01 Stockholm county","222 Nursing professionals","women",14939,14902,15242,15256
"01 Stockholm county","223 Nursing professionals (cont.)","men",284,298,276,263
"01 Stockholm county","223 Nursing professionals (cont.)","women",3464,3484,3575,3551
"01 Stockholm county","224 Psychologists and psychotherapists","men",590,608,635,664
"01 Stockholm county","224 Psychologists and psychotherapists","women",1597,1683,1865,1910
"01 Stockholm county","225 Veterinarians","men",55,57,70,69
"01 Stockholm county","225 Veterinarians","women",265,280,314,330
"01 Stockholm county","226 Dentists","men",464,486,526,546
"01 Stockholm county","226 Dentists","women",819,865,901,936
"01 Stockholm county","227 Naprapaths, physiotherapists, occupational therapists","men",567,592,670,724
"01 Stockholm county","227 Naprapaths, physiotherapists, occupational therapists","women",3045,3076,3242,3225
"01 Stockholm county","228 Specialists in health care not elsewhere classified","men",315,304,358,423
"01 Stockholm county","228 Specialists in health care not elsewhere classified","women",1794,1871,2156,2253
"01 Stockholm county","231 University and higher education teachers","men",4644,4877,4732,4750
"01 Stockholm county","231 University and higher education teachers","women",3822,4144,4084,4113
"01 Stockholm county","232 Vocational education teachers","men",743,692,748,754
"01 Stockholm county","232 Vocational education teachers","women",842,884,1040,1075
"01 Stockholm county","233 Secondary education teachers","men",2474,2524,2561,2565
"01 Stockholm county","233 Secondary education teachers","women",3274,3354,3508,3459
"01 Stockholm county","234 Primary- and pre-school teachers ","men",6480,6529,6765,6840
"01 Stockholm county","234 Primary- and pre-school teachers ","women",28335,27775,28055,27813
"01 Stockholm county","235 Teaching professionals not elsewhere classified","men",1764,1795,1746,1722
"01 Stockholm county","235 Teaching professionals not elsewhere classified","women",4858,4975,4949,4999
