"region","occupation (SSYK 2012)","sex","2017"
"01 Stockholm county","311 Physical and engineering science technicians","men",17521
"01 Stockholm county","311 Physical and engineering science technicians","women",5096
"03 Uppsala county","311 Physical and engineering science technicians","men",2783
"03 Uppsala county","311 Physical and engineering science technicians","women",685
"04 Södermanland county","311 Physical and engineering science technicians","men",2263
"04 Södermanland county","311 Physical and engineering science technicians","women",483
"05 Östergötland county","311 Physical and engineering science technicians","men",3868
"05 Östergötland county","311 Physical and engineering science technicians","women",817
"06 Jönköping county","311 Physical and engineering science technicians","men",3437
"06 Jönköping county","311 Physical and engineering science technicians","women",702
"07 Kronoberg county","311 Physical and engineering science technicians","men",1805
"07 Kronoberg county","311 Physical and engineering science technicians","women",377
"08 Kalmar county","311 Physical and engineering science technicians","men",1625
"08 Kalmar county","311 Physical and engineering science technicians","women",263
"09 Gotland county","311 Physical and engineering science technicians","men",199
"09 Gotland county","311 Physical and engineering science technicians","women",40
"10 Blekinge county","311 Physical and engineering science technicians","men",1533
"10 Blekinge county","311 Physical and engineering science technicians","women",275
"12 Skåne county","311 Physical and engineering science technicians","men",8768
"12 Skåne county","311 Physical and engineering science technicians","women",2099
"13 Halland county","311 Physical and engineering science technicians","men",2169
"13 Halland county","311 Physical and engineering science technicians","women",471
"14 Västra Götaland county","311 Physical and engineering science technicians","men",16539
"14 Västra Götaland county","311 Physical and engineering science technicians","women",4105
"17 Värmland county","311 Physical and engineering science technicians","men",2059
"17 Värmland county","311 Physical and engineering science technicians","women",483
"18 Örebro county","311 Physical and engineering science technicians","men",2425
"18 Örebro county","311 Physical and engineering science technicians","women",540
"19 Västmanland county","311 Physical and engineering science technicians","men",2811
"19 Västmanland county","311 Physical and engineering science technicians","women",639
"20 Dalarna county","311 Physical and engineering science technicians","men",2400
"20 Dalarna county","311 Physical and engineering science technicians","women",518
"21 Gävleborg county","311 Physical and engineering science technicians","men",2411
"21 Gävleborg county","311 Physical and engineering science technicians","women",490
"22 Västernorrland county","311 Physical and engineering science technicians","men",2233
"22 Västernorrland county","311 Physical and engineering science technicians","women",400
"23 Jämtland county","311 Physical and engineering science technicians","men",697
"23 Jämtland county","311 Physical and engineering science technicians","women",119
"24 Västerbotten county","311 Physical and engineering science technicians","men",3153
"24 Västerbotten county","311 Physical and engineering science technicians","women",562
"25 Norrbotten county","311 Physical and engineering science technicians","men",2243
"25 Norrbotten county","311 Physical and engineering science technicians","women",500
"99 County unknown","311 Physical and engineering science technicians","men",30
"99 County unknown","311 Physical and engineering science technicians","women",1
