"region","occupation (SSYK 2012)","sector","sex","2014","2015","2016","2017"
"01 Stockholm county","214 Engineering professionals","central government","men",1029,1053,1072,1030
"01 Stockholm county","214 Engineering professionals","central government","women",349,361,367,336
"01 Stockholm county","214 Engineering professionals","central government quasi-corporations","men",119,133,137,142
"01 Stockholm county","214 Engineering professionals","central government quasi-corporations","women",46,50,57,62
"01 Stockholm county","214 Engineering professionals","primary local government","men",10,14,8,7
"01 Stockholm county","214 Engineering professionals","primary local government","women",5,12,0,3
"01 Stockholm county","214 Engineering professionals","county councils","men",0,3,1,1
"01 Stockholm county","214 Engineering professionals","county councils","women",0,2,1,0
"01 Stockholm county","214 Engineering professionals","other public institutions","men",5,7,6,7
"01 Stockholm county","214 Engineering professionals","other public institutions","women",11,9,10,10
"01 Stockholm county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",15809,15790,16668,17071
"01 Stockholm county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",5409,5541,6193,6607
"01 Stockholm county","214 Engineering professionals","other corporations not controlled by the government sector","men",175,220,289,315
"01 Stockholm county","214 Engineering professionals","other corporations not controlled by the government sector","women",42,57,60,81
"01 Stockholm county","214 Engineering professionals","central government corporations and organisations","men",790,757,599,681
"01 Stockholm county","214 Engineering professionals","central government corporations and organisations","women",320,298,248,306
"01 Stockholm county","214 Engineering professionals","local government corporations and organisations","men",175,183,168,187
"01 Stockholm county","214 Engineering professionals","local government corporations and organisations","women",78,86,102,114
"01 Stockholm county","214 Engineering professionals","other organisations","men",69,74,67,64
"01 Stockholm county","214 Engineering professionals","other organisations","women",52,51,44,50
"01 Stockholm county","214 Engineering professionals","information missing","men",0,0,0,0
"01 Stockholm county","214 Engineering professionals","information missing","women",0,0,0,0
"03 Uppsala county","214 Engineering professionals","central government","men",87,89,98,109
"03 Uppsala county","214 Engineering professionals","central government","women",26,32,30,41
"03 Uppsala county","214 Engineering professionals","central government quasi-corporations","men",0,0,0,1
"03 Uppsala county","214 Engineering professionals","central government quasi-corporations","women",0,0,0,0
"03 Uppsala county","214 Engineering professionals","primary local government","men",1,2,1,1
"03 Uppsala county","214 Engineering professionals","primary local government","women",2,4,1,2
"03 Uppsala county","214 Engineering professionals","county councils","men",0,1,0,0
"03 Uppsala county","214 Engineering professionals","county councils","women",0,1,0,0
"03 Uppsala county","214 Engineering professionals","other public institutions","men",0,0,0,0
"03 Uppsala county","214 Engineering professionals","other public institutions","women",0,0,0,0
"03 Uppsala county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",1293,1319,1381,1518
"03 Uppsala county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",577,628,661,688
"03 Uppsala county","214 Engineering professionals","other corporations not controlled by the government sector","men",4,5,9,6
"03 Uppsala county","214 Engineering professionals","other corporations not controlled by the government sector","women",4,4,3,1
"03 Uppsala county","214 Engineering professionals","central government corporations and organisations","men",240,222,238,253
"03 Uppsala county","214 Engineering professionals","central government corporations and organisations","women",78,74,71,71
"03 Uppsala county","214 Engineering professionals","local government corporations and organisations","men",19,15,17,20
"03 Uppsala county","214 Engineering professionals","local government corporations and organisations","women",22,18,20,24
"03 Uppsala county","214 Engineering professionals","other organisations","men",13,16,17,15
"03 Uppsala county","214 Engineering professionals","other organisations","women",4,3,4,4
"03 Uppsala county","214 Engineering professionals","information missing","men",0,0,0,0
"03 Uppsala county","214 Engineering professionals","information missing","women",0,0,0,0
"04 Södermanland county","214 Engineering professionals","central government","men",33,34,38,50
"04 Södermanland county","214 Engineering professionals","central government","women",12,12,13,14
"04 Södermanland county","214 Engineering professionals","central government quasi-corporations","men",0,0,0,0
"04 Södermanland county","214 Engineering professionals","central government quasi-corporations","women",0,0,0,0
"04 Södermanland county","214 Engineering professionals","primary local government","men",2,3,1,1
"04 Södermanland county","214 Engineering professionals","primary local government","women",2,3,2,0
"04 Södermanland county","214 Engineering professionals","county councils","men",0,0,0,0
"04 Södermanland county","214 Engineering professionals","county councils","women",0,0,0,0
"04 Södermanland county","214 Engineering professionals","other public institutions","men",0,0,0,0
"04 Södermanland county","214 Engineering professionals","other public institutions","women",0,0,0,0
"04 Södermanland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","men",1014,976,886,928
"04 Södermanland county","214 Engineering professionals","joint-stock corporations not controlled by the government sector","women",242,250,223,246
"04 Södermanland county","214 Engineering professionals","other corporations not controlled by the government sector","men",0,2,1,0
