"region","2007","2009","2011","2013","2015","2017"
"00 Sweden",78352,80464,82066,85934,95576,110933
"01 Stockholm county",26757,26075,28385,33030,37590,39580
"03 Uppsala county",1961,1841,1849,2111,2264,2155
"04 Södermanland county",813,1214,1370,1222,1322,988
"05 Östergötland county",5120,6670,6584,6557,7240,7142
"06 Jönköping county",1203,1339,1294,1189,1377,1745
"07 Kronoberg county",571,1721,1402,1808,2012,2638
"08 Kalmar county",294,395,261,295,425,195
"09 Gotland county",108,9,..,6,6,..
"10 Blekinge county",1284,1238,1223,353,680,410
"12 Skåne county",14430,12626,13228,11719,10078,11610
"13 Halland county",209,466,443,497,419,461
"14 Västra Götaland county",17160,18796,19376,18814,23362,35517
"17 Värmland county",915,280,283,426,412,850
"18 Örebro county",1274,1281,1061,1263,916,946
"19 Västmanland county",1132,1724,1402,1700,2239,2453
"20 Dalarna county",1137,1063,1083,1405,1350,1344
"21 Gävleborg county",960,1175,..,1048,1269,846
"22 Västernorrland county",500,633,656,595,632,746
"23 Jämtland county",21,37,48,21,28,..
"24 Västerbotten county",497,476,417,554,550,627
"25 Norrbotten county",831,519,392,504,762,617
"50 no regional distribution",1175,888,673,818,642,..
