"occupational group (SSYK)","age","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"214 Architects, engineers and related professionals","18-24 years","men",19600,21900,24200,21200,21600,22400,23000,22700,25100,24800,25000,25600,26400,25500
"214 Architects, engineers and related professionals","18-24 years","women",19300,21000,..,..,..,..,23500,22000,24300,..,..,25700,25900,26300
"214 Architects, engineers and related professionals","25-29 years","men",24300,25800,26300,26400,26400,26700,26500,28000,29500,29500,30100,30600,31100,31400
"214 Architects, engineers and related professionals","25-29 years","women",22200,24800,24400,24700,26100,26500,26800,28100,28500,28800,29200,30000,30300,31000
"214 Architects, engineers and related professionals","30-34 years","men",28500,29500,31300,30700,30500,32100,32800,34000,34500,34300,34800,35800,36600,37000
"214 Architects, engineers and related professionals","30-34 years","women",26300,28000,28900,29200,29000,30300,31400,32300,32900,33000,33100,33500,35300,36100
"214 Architects, engineers and related professionals","35-39 years","men",31200,33500,34300,34400,34400,34800,35600,37400,38800,38700,39800,40200,41400,41900
"214 Architects, engineers and related professionals","35-39 years","women",27400,29800,31300,31500,32800,33400,33800,34900,36800,37000,37300,38900,40100,40100
"214 Architects, engineers and related professionals","40-44 years","men",33000,34500,36300,36200,36700,38500,38000,39300,40800,41200,41700,43000,44600,44900
"214 Architects, engineers and related professionals","40-44 years","women",29600,31200,29400,30700,32900,37000,36600,38400,38600,38900,39300,39800,41900,42800
"214 Architects, engineers and related professionals","45-49 years","men",33900,34600,36600,37600,36300,40300,39700,42200,43100,42800,42900,44000,45400,46300
"214 Architects, engineers and related professionals","45-49 years","women",29000,32200,33000,32900,34700,33000,34800,38900,39900,40600,38600,41700,41500,43300
"214 Architects, engineers and related professionals","50-54 years","men",32600,35200,36500,35300,37100,39000,40300,41400,42400,43700,43500,46700,47700,47600
"214 Architects, engineers and related professionals","50-54 years","women",26900,33100,30800,31800,36100,35500,36400,38400,40000,40400,41000,43100,43900,41400
"214 Architects, engineers and related professionals","55-59 years","men",33400,35200,35900,36100,37400,38200,38600,39900,42600,40900,43800,44600,46300,46600
"214 Architects, engineers and related professionals","55-59 years","women",28200,30000,30300,27100,35600,36200,36400,38900,40400,40200,38600,41200,42000,45900
"214 Architects, engineers and related professionals","60-64 years","men",33300,35600,35400,36200,38000,42600,37200,38400,40300,41600,43300,43800,45700,46600
"214 Architects, engineers and related professionals","60-64 years","women",..,..,..,..,..,35100,33400,35100,34700,30800,40000,42400,44500,44300
