"occupational group (SSYK)","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"0000 All","total",24200,25500,26300,27100,28300,29100,29900,31100,32600,33500,34000,34800,35800,36600
"111 Legislators and senior government officials","total",..,..,..,..,..,..,..,..,..,..,..,50700,..,..
"112 Senior officials of special-interest organisations","total",32600,34100,36400,40500,42600,40600,39000,41100,40600,49600,46500,46900,..,..
"121 Directors and chief executives","total",53300,57100,59900,59700,65200,63700,63200,64600,73900,74700,79300,81400,81700,86100
"122 Production and operations managers","total",30600,32500,33400,34300,36300,38300,38900,40200,42600,43300,44400,45500,46200,46800
"123 Other specialist managers","total",38700,41000,42400,43000,45100,46900,48100,49800,51900,53300,54300,56200,57900,58500
"124 Foreman","total",23700,24600,26000,26800,..,..,..,..,..,..,..,..,..,..
"131 Managers of small enterprises","total",24800,26200,27200,27700,29700,29900,31200,31900,34200,36300,35700,37000,38700,39600
"211 Physicists, chemists and related professionals","total",31000,32000,31400,34500,37400,38000,39600,39000,38200,41800,43100,43800,44300,43900
"212 Mathematicians and statisticians","total",31100,32700,33700,35000,37600,37400,36000,35900,38400,41400,45000,45000,50400,49000
"213 Computing professionals","total",30500,31300,33100,33500,34300,34300,35200,36800,38600,39100,39800,40300,40900,41300
"214 Architects, engineers and related professionals","total",29800,31500,32600,32700,33400,35400,35300,36600,37900,38200,39000,40000,41200,41800
"221 Life science professionals","total",26700,27900,30100,31200,32300,33100,36000,37400,35100,38100,38800,39000,41500,42000
"222 Health professionals (except nursing)","total",35000,..,36200,39500,46100,44200,49200,46600,..,47400,47600,53800,56800,58300
"223 Nursing and midwifery professionals","total",24000,25500,25600,28000,26900,27700,28700,31500,31600,31500,30400,32100,32400,33400
"231 College, university and higher education teaching professionals","total",25600,26100,27100,28700,29700,31200,32200,33100,34800,36200,36300,..,..,..
"232 Secondary education teaching professionals","total",22100,22200,22900,23500,23900,24100,25000,25400,26200,26900,26900,27500,27500,29200
"233 Primary education teaching professionals","total",19900,20300,21700,21600,22000,22700,23200,24000,24500,25200,26300,26400,26700,27100
"234 Special education teaching professionals","total",21100,21100,21900,24300,23200,22900,24000,25000,24100,25000,26700,27700,26900,28400
"235 Other teaching professionals","total",23200,23700,23200,23000,25500,26500,27600,27300,29100,29300,29800,29200,29200,31200
"241 Business professionals","total",30500,32500,32700,33400,35100,36600,36800,38500,39700,40400,41400,42100,42300,43600
"242 Legal professionals","total",39200,39700,37600,40100,43900,40500,43800,45700,49000,49500,49300,49100,52600,53200
"243 Archivists, librarians and related information professionals","total",19700,20300,22100,22400,23800,25400,24300,24600,26100,27000,27700,28000,29400,29200
"244 Social science and linguistics professionals (except social work professionals)","total",26400,29700,27800,28900,31000,30500,36700,33000,30000,30300,31900,31000,31700,35100
"245 Writers and creative or performing artists","total",24800,25400,26700,27800,29200,30200,30500,30400,31300,32300,32600,33400,34100,34900
"246 Religious professionals","total",24800,25500,26900,27800,29000,29800,31200,31900,32900,34200,35200,35500,36600,38300
"247 Public service administrative professionals","total",25900,28200,28200,28900,30000,32000,30600,29800,..,..,..,..,..,..
"248 Administrative professionals of special-interest organisations","total",26700,26800,28000,29200,29500,30300,30500,31800,32700,32500,33700,34500,34700,35700
"249 Psychologists, social work and related professionals","total",19700,22300,23800,24200,24900,25500,27300,27000,28300,29500,31100,31400,32600,33700
"311 Physical and engineering science technicians","total",23600,24800,25700,26500,27700,28700,29500,30500,32000,32800,33500,34800,35600,36400
"312 Computer associate professionals","total",23100,24400,24900,25800,26900,27400,29200,29900,30300,31200,32500,32900,33800,34300
"313 Optical and electronic equipment operators","total",20800,21300,23200,24300,25300,25300,24500,25700,26600,27100,28800,28400,29000,28900
"314 Ship and aircraft controllers and technicians","total",41000,41300,43100,..,48600,47700,46600,46600,47400,49700,51400,52600,54900,53100
"315 Safety and quality inspectors","total",23800,24900,25500,26600,26200,27100,27300,28000,30000,31400,31300,34100,34900,35900
"321 Agronomy and forestry technicians","total",20700,21600,22700,23200,25700,26400,27200,28600,28800,30000,31400,33000,34000,32700
"322 Health associate professionals (except nursing)","total",21400,22000,22900,24000,24600,25700,25700,27000,27000,27500,28200,29100,29600,29800
"323 Nursing associate professionals","total",21500,22900,25400,26800,26000,26900,26600,27700,29000,30100,30100,30800,32200,33300
"324 Life science technicians","total",18700,20000,21900,22500,21900,23600,25300,25900,24900,26000,26200,28200,28300,29300
"331 Pre-primary education teaching associate professionals","total",16800,17400,19200,19300,20000,20600,21200,22400,23100,23700,23800,24300,24800,26100
"332 Other teaching associate professionals","total",19400,19500,20400,21600,22500,23100,22900,24100,25200,25900,29200,26600,26000,26600
"341 Finance and sales associate professionals","total",24700,25600,26300,27000,29200,30600,31800,33200,34300,35000,35500,36100,37300,38100
"342 Business services agents and trade brokers","total",21500,22200,23600,23800,24400,25400,25200,26900,28400,28500,30100,30700,32500,32300
"343 Administrative associate professionals","total",21900,22600,23600,24100,25000,25700,26600,26900,28400,29200,30000,30600,31800,32900
"344 Customs, tax and related government associate professionals","total",19300,..,20000,22200,25700,25500,..,24200,24700,27300,27400,..,..,..
"346 Social work associate professionals","total",17500,17600,19000,19600,21100,21900,21400,21700,22100,22900,23100,24200,24900,26300
"347 Artistic, entertainment and sports associate professionals","total",20700,21000,23200,23100,23000,24700,24600,26500,27300,29000,28900,30500,31500,31900
"348 Religious associate professionals","total",17000,17500,17800,18600,19600,20100,20800,21400,21600,22900,24200,25300,24700,25900
"411 Office secretaries and data entry operators","total",18900,19300,20100,21300,21600,22600,22900,24200,24700,25800,26400,26600,27100,27300
"412 Numerical clerks","total",18500,19300,20000,20600,21400,21800,22800,23800,24700,25200,26000,26700,27400,27900
"413 Stores and transport clerks","total",18800,19300,20400,21000,21500,22600,22400,23800,24400,25500,25800,26700,28700,29400
"414 Library and filing clerks","total",17600,17800,18100,18300,18700,20000,19300,20200,21600,22800,22200,23500,23400,23100
"415 Mail carriers and sorting clerks","total",16900,16600,17000,17700,18400,19200,..,..,..,..,..,..,..,..
"419 Other office clerks","total",17100,17700,18800,19700,20600,21400,22300,23100,24100,24500,25500,26000,26700,27600
"421 Cashiers, tellers and related clerks","total",17100,18200,18000,18700,19700,20100,21000,21200,22400,24900,24300,22900,23600,23200
"422 Client information clerks","total",16400,17400,17600,18300,18900,19200,20000,20100,21400,22600,22700,23000,23700,24200
"511 Travel attendants and related workers","total",21600,22200,23000,26900,24400,24200,24500,25300,26800,28800,26900,28000,28800,29000
"512 Housekeeping and restaurant services workers","total",16600,16100,17300,17300,19600,20400,21200,21100,22900,23000,23200,24000,24300,25600
"513 Personal care and related workers","total",16500,17300,18200,18500,18500,19100,20100,20200,21600,22600,22300,23000,24000,24300
"514 Other personal services workers","total",17100,18500,18800,19200,19100,20300,21500,21600,22900,24600,24200,24300,24100,24400
"515 Protective services workers","total",20400,23900,23600,24500,22700,24200,23600,25700,28700,25200,26000,28300,28800,28300
"522 Shop and stall salespersons and demonstrators","total",17200,17200,19100,19100,21400,23500,23700,24600,24700,25300,25700,25700,26400,27600
"611 Market gardeners and crop growers","total",..,..,..,21000,20000,..,26700,..,..,..,..,..,..,..
"612 Animal producers and related workers","total",..,..,..,..,20400,20500,20600,21600,21100,24200,21700,23300,23100,24700
"712 Building frame and related trades workers","total",20500,19200,20400,21300,22800,22700,23500,25700,26800,27600,26400,29800,29000,30100
