"region","occupational group (SSYK)","sex","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"SE Sweden","214 Architects, engineers and related professionals","men",30600,32100,33500,33600,34000,36100,35900,37200,38600,38900,39800,40800,42000,42400
"SE Sweden","214 Architects, engineers and related professionals","women",26100,28600,28700,29100,30800,32000,32600,33800,35000,35500,36200,37200,38500,39600
"SE11 Stockholm","214 Architects, engineers and related professionals","men",33300,34900,36800,36500,36700,40400,39700,41500,42000,41700,42900,43700,44200,44600
"SE11 Stockholm","214 Architects, engineers and related professionals","women",26800,30800,30100,31600,33300,35200,34800,35800,37300,37600,38200,38500,40500,41200
"SE12 East-Central Sweden","214 Architects, engineers and related professionals","men",30600,32000,33300,33700,33700,36500,34700,36600,37800,38500,39300,39700,41100,41500
"SE12 East-Central Sweden","214 Architects, engineers and related professionals","women",27800,28200,28300,28600,29600,32100,31500,32800,34300,35100,35200,35700,36600,38100
"SE21 Småland and islands","214 Architects, engineers and related professionals","men",27900,29600,31900,30000,30400,30200,30200,31600,33500,35100,35600,37800,38500,39700
"SE21 Småland and islands","214 Architects, engineers and related professionals","women",22300,23600,26200,27000,..,29000,28700,30900,30300,31400,32300,34400,36100,36200
"SE22 South Sweden","214 Architects, engineers and related professionals","men",28900,30000,30800,32300,33000,34000,35200,36700,38500,38900,39100,40500,42300,42600
"SE22 South Sweden","214 Architects, engineers and related professionals","women",25100,26800,28100,28200,29700,30100,30900,33900,33900,34800,35200,37700,38300,40200
"SE23 West Sweden","214 Architects, engineers and related professionals","men",30400,31700,32500,33400,33000,34600,34500,35200,37500,37900,38200,39500,41500,41800
"SE23 West Sweden","214 Architects, engineers and related professionals","women",25300,27200,27700,27000,29100,30500,31600,32200,33900,34600,35100,36500,37900,39400
"SE31 North-Central Sweden","214 Architects, engineers and related professionals","men",27400,27900,30400,31600,30900,32400,33800,35400,35500,35900,38000,37500,38800,39300
"SE31 North-Central Sweden","214 Architects, engineers and related professionals","women",25900,27000,28300,28600,29500,28800,30500,34900,31000,31500,34000,34500,35600,36700
"SE32 Central Norrland","214 Architects, engineers and related professionals","men",28500,27900,28800,27900,31500,32100,32800,35900,34600,36900,37800,40600,41200,40900
"SE32 Central Norrland","214 Architects, engineers and related professionals","women",29100,..,..,..,..,30300,31200,32600,34100,35000,35200,36900,38300,37900
"SE33 Upper Norrland","214 Architects, engineers and related professionals","men",26700,26700,27000,28700,30700,31400,33600,35100,35300,35100,36700,38100,38800,39600
"SE33 Upper Norrland","214 Architects, engineers and related professionals","women",..,..,..,27600,28600,28800,30000,31200,33400,32900,33600,33900,35100,35800
