"field of education SUN 2000","sex","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"000 All educational orientations","total",25500,26300,27100,28300,29100,29900,31100,32600,33500,34000,34800,35800,36600,39200,39900,40700,41700,42900
"0 general education","total",21500,22300,23100,23900,24600,25800,26900,27600,28800,29200,29600,30800,31400,33900,34800,35100,36400,37200
"1 teaching methods and teacher education","total",22700,23800,24100,24500,24800,25600,26800,27600,28200,28700,29100,29900,30600,31700,33200,33700,34600,36200
"2 humanities and arts","total",21900,22800,23600,24500,25200,25500,26100,26800,27900,28200,28800,29400,30100,32300,32800,33400,34600,35400
"3 social sciences, law, commerce, administration","total",27000,27900,28700,30000,31100,31900,33300,34900,35900,36700,37500,38500,39600,41500,42200,43000,44100,45500
"4 natural sciences, mathematics and computing","total",29600,30500,31200,32100,32600,33000,34700,35500,36500,37700,37900,39100,39400,41100,42100,42900,42700,44300
"5 engineering and manufacturing","total",28200,29000,29700,31000,31900,32600,34000,35800,36600,37200,38300,39300,40300,42500,43000,44300,45000,46100
"6 agriculture and forestry, veterinary medicine","total",23800,25000,25700,28600,27300,27400,28100,30100,31600,31100,33000,33100,33800,37700,36900,36700,39300,40000
"7 health care and nursing, social care","total",23900,24200,25400,26300,27200,27600,28000,30000,30000,30400,31400,32400,32800,37000,37800,38000,40100,41200
"8 services","total",21800,22700,23500,24200,25200,25800,26600,27800,28500,29100,30100,30800,31900,33500,34100,34500,35500,36900
"9 unknown","total",26200,26200,27700,29500,30000,30200,30500,33000,32900,33800,33500,35200,35700,39100,40200,41700,41800,44000
