"region","sector","occupational group (SSYK)","sex","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"SE11 Stockholm","0 all sectors","214 Architects, engineers and related professionals","men",36000,36400,40000,39500,41200,41700,41600,42800,43600,44100,44500
"SE11 Stockholm","0 all sectors","214 Architects, engineers and related professionals","women",31000,33000,34600,34600,35500,37000,37400,38100,38400,40300,41000
"SE12 East-Central Sweden","0 all sectors","214 Architects, engineers and related professionals","men",32900,33500,36000,34600,36300,37600,38300,39100,39500,40900,41400
"SE12 East-Central Sweden","0 all sectors","214 Architects, engineers and related professionals","women",27900,29300,31400,31200,32500,33900,34600,34800,35300,36200,37700
"SE21 Småland and islands","0 all sectors","214 Architects, engineers and related professionals","men",30000,30300,30200,30300,31600,33500,34900,35500,37600,38300,39500
"SE21 Småland and islands","0 all sectors","214 Architects, engineers and related professionals","women",26800,26900,28600,28500,30600,30000,31100,31800,33700,35000,35200
"SE22 South Sweden","0 all sectors","214 Architects, engineers and related professionals","men",31900,32700,33800,34900,36500,38300,38700,38900,40300,42000,42300
"SE22 South Sweden","0 all sectors","214 Architects, engineers and related professionals","women",27600,29300,29700,30500,33100,33400,34400,34800,36900,37800,39400
"SE23 West Sweden","0 all sectors","214 Architects, engineers and related professionals","men",33200,32900,34400,34400,35100,37400,37800,38100,39400,41400,41700
"SE23 West Sweden","0 all sectors","214 Architects, engineers and related professionals","women",27000,28900,30300,31300,32000,33600,34300,34900,36200,37500,38900
"SE31 North-Central Sweden","0 all sectors","214 Architects, engineers and related professionals","men",31400,30700,32300,33500,35000,35400,35900,37900,37400,38700,39300
"SE31 North-Central Sweden","0 all sectors","214 Architects, engineers and related professionals","women",28600,28500,28500,30000,33700,30900,31600,33500,34000,35300,36500
"SE32 Central Norrland","0 all sectors","214 Architects, engineers and related professionals","men",28000,31300,32000,32700,35500,34500,36700,37500,40100,40500,40600
"SE32 Central Norrland","0 all sectors","214 Architects, engineers and related professionals","women",29800,28600,29400,30300,31700,33000,34300,34500,35600,36900,37400
"SE33 Upper Norrland","0 all sectors","214 Architects, engineers and related professionals","men",28300,30200,31000,33100,34600,35000,34900,36500,37800,38600,39400
"SE33 Upper Norrland","0 all sectors","214 Architects, engineers and related professionals","women",25500,26700,27500,28900,30000,32600,32400,33000,33400,34600,35600
