"region","sector","occupational group (SSYK)","sex","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"SE11 Stockholm","0 all sectors","214 Architects, engineers and related professionals","men",14500,14800,14400,15100,16000,16800,17100,17200,18300,17900,18300
"SE11 Stockholm","0 all sectors","214 Architects, engineers and related professionals","women",4200,4100,3500,4400,4700,5700,5700,6200,7600,6600,6800
"SE12 East-Central Sweden","0 all sectors","214 Architects, engineers and related professionals","men",7400,7800,7100,8500,8500,9600,9500,9100,9200,9800,9700
"SE12 East-Central Sweden","0 all sectors","214 Architects, engineers and related professionals","women",..,..,1300,1800,1800,2200,2200,2300,2600,2900,2900
"SE21 Småland and islands","0 all sectors","214 Architects, engineers and related professionals","men",..,1700,..,..,..,2300,2300,2000,2300,2100,2100
"SE21 Småland and islands","0 all sectors","214 Architects, engineers and related professionals","women",260,240,290,380,..,470,460,460,490,390,460
"SE22 South Sweden","0 all sectors","214 Architects, engineers and related professionals","men",6500,6700,6600,5900,6700,8300,8900,7900,7800,7600,7800
"SE22 South Sweden","0 all sectors","214 Architects, engineers and related professionals","women",1500,1500,1600,1700,1600,2100,2300,2200,2200,2700,2500
"SE23 West Sweden","0 all sectors","214 Architects, engineers and related professionals","men",8900,11200,11300,12400,15900,13700,14300,13800,13900,13200,13300
"SE23 West Sweden","0 all sectors","214 Architects, engineers and related professionals","women",3400,2400,2900,2700,3600,4000,4300,4400,4000,4300,4000
"SE31 North-Central Sweden","0 all sectors","214 Architects, engineers and related professionals","men",2300,3100,3300,2800,2300,3200,3300,2800,2700,3400,3900
"SE31 North-Central Sweden","0 all sectors","214 Architects, engineers and related professionals","women",410,600,720,620,590,770,810,730,730,910,990
"SE32 Central Norrland","0 all sectors","214 Architects, engineers and related professionals","men",..,900,980,990,1000,..,1400,1400,..,890,1200
"SE32 Central Norrland","0 all sectors","214 Architects, engineers and related professionals","women",140,180,210,240,270,290,390,..,290,320,390
"SE33 Upper Norrland","0 all sectors","214 Architects, engineers and related professionals","men",..,1400,1300,1900,2200,1800,1900,..,1600,2200,2000
"SE33 Upper Norrland","0 all sectors","214 Architects, engineers and related professionals","women",290,250,300,320,330,400,390,400,440,500,..
