"sector","occupational group (SSYK)","sex","age","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"0 all sectors","011 Armed forces","men","18-24 years",20000,20500,18700,..,18500,19400,19200,20100,19600,21600
"0 all sectors","011 Armed forces","men","25-34 years",25500,25200,23800,24800,25800,25200,26800,26000,25400,26100
"0 all sectors","011 Armed forces","men","35-44 years",30900,31400,31500,32500,33500,33600,35700,35400,35000,35800
"0 all sectors","011 Armed forces","men","45-54 years",32700,33300,33300,34800,36200,36800,39400,39900,40000,41900
"0 all sectors","011 Armed forces","men","55-64 years",36400,35600,35000,35900,35400,35800,38300,38200,38200,40600
"0 all sectors","011 Armed forces","women","18-24 years",..,..,..,..,..,..,..,19500,19500,21500
"0 all sectors","011 Armed forces","women","25-34 years",23100,23700,22800,24100,25000,24600,26200,25400,24300,26400
"0 all sectors","011 Armed forces","women","35-44 years",28700,28800,29600,30600,31000,30900,33000,32300,32400,34000
"0 all sectors","011 Armed forces","women","45-54 years",..,..,..,..,..,..,..,34900,35800,39400
"0 all sectors","011 Armed forces","women","55-64 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","111 Legislators and senior government officials","men","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","111 Legislators and senior government officials","men","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","111 Legislators and senior government officials","men","35-44 years",..,..,..,..,54200,57600,58800,58800,63400,64500
"0 all sectors","111 Legislators and senior government officials","men","45-54 years",58800,63000,62200,64700,57000,59400,62500,63700,66500,72100
"0 all sectors","111 Legislators and senior government officials","men","55-64 years",60100,63600,66200,68900,57700,60200,61500,64100,65900,71400
"0 all sectors","111 Legislators and senior government officials","women","18-24 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","111 Legislators and senior government officials","women","25-34 years",..,..,..,..,..,..,..,..,..,..
"0 all sectors","111 Legislators and senior government officials","women","35-44 years",..,..,..,..,..,54200,57100,56600,59400,60300
"0 all sectors","111 Legislators and senior government officials","women","45-54 years",52600,..,57200,..,57400,58900,59300,62400,65900,68700
