"Utbildningsnivå SUN 2000","kön","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"förgymnasial utbildning kortare än 9 år","män",13200,14200,14400,14900,15300,16300,17100,17700,18200,18900,19600,20200,20800,21400,21900,22500,23200,23900,24500,24700,24900,25100,25600,25900,26000
"förgymnasial utbildning kortare än 9 år","kvinnor",11700,12200,12300,12800,13200,13900,14600,15000,15500,15900,16600,17100,17700,18100,18600,19200,19500,20400,20900,21200,21500,22400,22600,22700,23300
"förgymnasial utbildning 9 (10) år","män",12900,14200,14400,14900,15200,16200,16900,17500,18000,18800,19700,20400,21200,21800,22300,23000,23800,24700,25200,25700,26400,27000,27700,28300,28800
"förgymnasial utbildning 9 (10) år","kvinnor",11600,12400,12600,13200,13500,14300,14800,15100,15800,16400,17000,17600,18200,19000,19300,20000,20400,21400,22100,22600,23200,23900,24200,24600,25100
"gymnasial utbildning","män",13900,15100,15300,15800,16100,17200,18100,18800,19400,20200,21000,21700,22300,23000,23700,24300,25200,26300,26900,27300,27900,28800,29400,29900,30500
"gymnasial utbildning","kvinnor",12200,12800,12900,13500,13900,14600,15200,15700,16400,16900,17600,18300,18900,19600,20100,20700,21200,22500,23300,23700,24200,24900,25500,26000,26500
"eftergymnasial utbildning kortare än två år","män",..,..,..,..,18300,19800,21000,22000,23400,25500,27100,28000,28300,29300,30300,31100,32300,33800,34200,34700,35200,35900,36900,37600,38100
"eftergymnasial utbildning kortare än två år","kvinnor",..,..,..,..,15500,16500,17200,17800,18800,19900,20800,21400,22000,22800,23300,24100,24800,25800,26600,26900,27600,28200,29000,29400,29800
"eftergymnasial utbildning två år eller längre","män",..,..,..,..,22200,23600,25100,26200,27500,28300,29700,30400,30800,32100,32700,33300,34400,36100,36600,37200,37700,38600,39500,40500,41200
"eftergymnasial utbildning två år eller längre","kvinnor",..,..,..,..,16900,17800,18700,19400,20500,21200,22500,23300,24000,24800,25400,26000,26800,28200,29100,29600,30300,31100,32100,33100,34000
"forskarutbildning","män",23500,26500,27400,28400,28900,31000,32400,33400,34600,36000,37500,39300,40100,41800,42300,43700,44500,46400,48000,48600,49200,51100,51700,52900,53700
"forskarutbildning","kvinnor",19200,22500,23400,24200,24600,26200,27200,27800,28600,30000,31300,32600,33900,35000,35500,37000,37700,39100,40600,41300,42400,43900,44900,46800,46900
