"occuptional  (SSYK 2012)","age","sex","2014","2015","2016","2017","2018"
"214 Engineering professionals","18-24 years","men",28600,29400,27300,30300,30600
"214 Engineering professionals","18-24 years","women",26700,29200,29500,31000,30900
"214 Engineering professionals","25-29 years","men",32300,32800,32900,33500,34700
"214 Engineering professionals","25-29 years","women",31900,31800,32600,33400,34600
"214 Engineering professionals","30-34 years","men",38100,38600,38500,39100,39800
"214 Engineering professionals","30-34 years","women",37100,37200,37000,38200,39400
"214 Engineering professionals","35-39 years","men",42300,42800,42800,43800,46200
"214 Engineering professionals","35-39 years","women",41600,41400,41800,42800,43300
"214 Engineering professionals","40-44 years","men",44700,45800,46500,47400,48300
"214 Engineering professionals","40-44 years","women",44000,44700,45000,47300,46600
"214 Engineering professionals","45-49 years","men",47000,47000,48300,49700,50800
"214 Engineering professionals","45-49 years","women",44600,45400,45600,47500,49500
"214 Engineering professionals","50-54 years","men",48200,47300,48700,49800,51200
"214 Engineering professionals","50-54 years","women",45100,44300,47000,49600,50600
"214 Engineering professionals","55-59 years","men",48000,49300,50200,50700,52300
"214 Engineering professionals","55-59 years","women",45100,46300,46900,45000,50100
"214 Engineering professionals","60-64 years","men",48400,48800,49500,49600,51900
"214 Engineering professionals","60-64 years","women",44200,45500,46600,46800,49000
"214 Engineering professionals","65-66 years","men",47400,..,51500,46500,49400
"214 Engineering professionals","65-66 years","women",..,..,..,..,..
