"region","sector","occuptional  (SSYK 2012)","sex","2014","2015","2016","2017","2018","2019","2020"
"SE11 Stockholm","0 all sectors","011 Commissioned armed forces officers","men",36300,39100,..,..,..,..,46500
"SE11 Stockholm","0 all sectors","011 Commissioned armed forces officers","women",..,..,..,..,..,..,41300
"SE11 Stockholm","0 all sectors","021 Non-commissioned armed forces officers","men",31600,28900,..,..,..,..,37000
"SE11 Stockholm","0 all sectors","021 Non-commissioned armed forces officers","women",..,..,..,..,..,..,33300
"SE11 Stockholm","0 all sectors","031 Armed forces occupations, other ranks","men",23300,23100,..,..,..,..,25600
"SE11 Stockholm","0 all sectors","031 Armed forces occupations, other ranks","women",23000,23200,..,..,..,..,24400
"SE11 Stockholm","0 all sectors","111 Legislators and senior officials","men",83200,75100,79800,82700,81300,73200,81300
"SE11 Stockholm","0 all sectors","111 Legislators and senior officials","women",79800,69000,68000,..,..,91600,66100
"SE11 Stockholm","0 all sectors","112 Managing directors and chief executives","men",85900,95300,86600,99300,97600,86100,89000
"SE11 Stockholm","0 all sectors","112 Managing directors and chief executives","women",..,73700,..,..,112700,..,101100
"SE11 Stockholm","0 all sectors","121 Finance managers","men",87000,90400,91300,81200,97500,96000,89300
"SE11 Stockholm","0 all sectors","121 Finance managers","women",57800,63500,62400,66900,70700,67600,67900
"SE11 Stockholm","0 all sectors","122 Human resource managers","men",62000,64700,..,..,67600,78400,65900
"SE11 Stockholm","0 all sectors","122 Human resource managers","women",59200,58600,59800,68000,68400,69700,73700
"SE11 Stockholm","0 all sectors","123 Administration and planning managers","men",66400,67900,76600,77900,75300,73900,75600
"SE11 Stockholm","0 all sectors","123 Administration and planning managers","women",59100,59300,62200,63000,64700,66400,68800
"SE11 Stockholm","0 all sectors","124 Information, communication and public relations managers","men",76600,72800,68800,63000,76200,74200,67500
"SE11 Stockholm","0 all sectors","124 Information, communication and public relations managers","women",60100,61200,62000,66000,64200,68300,64900
"SE11 Stockholm","0 all sectors","125 Sales and marketing managers","men",68200,70800,70700,67700,68500,76300,74100
"SE11 Stockholm","0 all sectors","125 Sales and marketing managers","women",53600,55100,59600,55600,59600,64700,63600
"SE11 Stockholm","0 all sectors","129 Administration and service managers not elsewhere classified","men",58500,58600,65000,65300,64600,62100,63100
"SE11 Stockholm","0 all sectors","129 Administration and service managers not elsewhere classified","women",53400,51300,51400,54000,56900,57300,57800
"SE11 Stockholm","0 all sectors","131 Information and communications technology service managers","men",60300,62500,69600,62500,65600,69000,70900
"SE11 Stockholm","0 all sectors","131 Information and communications technology service managers","women",56600,57900,63500,66200,70900,71900,72600
"SE11 Stockholm","0 all sectors","132 Supply, logistics and transport managers","men",58600,59400,57500,60700,62200,60200,63800
"SE11 Stockholm","0 all sectors","132 Supply, logistics and transport managers","women",55300,54800,46700,53500,55600,59800,59300
"SE11 Stockholm","0 all sectors","133 Research and development managers","men",71700,69000,70100,68100,71000,63700,72900
"SE11 Stockholm","0 all sectors","133 Research and development managers","women",62300,61300,62800,60400,63100,63400,63500
"SE11 Stockholm","0 all sectors","134 Architectural and engineering managers","men",58200,58300,60400,58600,66200,61800,60700
"SE11 Stockholm","0 all sectors","134 Architectural and engineering managers","women",51700,54900,57000,58000,60100,58900,59500
"SE11 Stockholm","0 all sectors","135 Real estate and head of administration manager","men",..,..,..,..,59800,..,..
"SE11 Stockholm","0 all sectors","135 Real estate and head of administration manager","women",..,54300,52300,52900,58800,55500,58200
"SE11 Stockholm","0 all sectors","136 Production managers in construction and mining","men",52500,54800,53200,54800,58300,59700,59800
"SE11 Stockholm","0 all sectors","136 Production managers in construction and mining","women",55300,53500,57800,59000,58700,60400,61900
"SE11 Stockholm","0 all sectors","137 Production managers in manufacturing","men",50200,50700,50200,53200,57300,57300,60200
"SE11 Stockholm","0 all sectors","137 Production managers in manufacturing","women",52200,53400,50700,52100,53600,59700,64000
"SE11 Stockholm","0 all sectors","138 Forestry and agricultural production managers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","138 Forestry and agricultural production managers","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","141 Primary and secondary schools and adult education managers","men",48400,51100,53100,56300,57600,58500,59300
"SE11 Stockholm","0 all sectors","141 Primary and secondary schools and adult education managers","women",47000,48500,50700,53200,55600,56400,57700
"SE11 Stockholm","0 all sectors","142 Preschool managers","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","142 Preschool managers","women",40000,42500,43900,44100,47600,49200,50200
"SE11 Stockholm","0 all sectors","149 Education managers not elsewhere classified","men",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","149 Education managers not elsewhere classified","women",..,..,..,..,..,..,..
"SE11 Stockholm","0 all sectors","151 Health care managers","men",62800,64200,68800,65300,62800,72900,65800
"SE11 Stockholm","0 all sectors","151 Health care managers","women",46000,49000,50900,50700,51800,55100,55200
"SE11 Stockholm","0 all sectors","152 Managers in social and curative care","men",44900,45000,44600,47700,48500,51100,50900
"SE11 Stockholm","0 all sectors","152 Managers in social and curative care","women",42600,45000,47300,49100,49400,51000,50500
"SE11 Stockholm","0 all sectors","153 Elderly care managers","men",42000,..,44500,40400,47500,49000,49700
"SE11 Stockholm","0 all sectors","153 Elderly care managers","women",41700,42600,44100,45400,47600,48400,49500
"SE11 Stockholm","0 all sectors","154 Managers and leaders within religious bodies","men",..,..,..,..,..,..,..
