"region","sector","occuptional  (SSYK 2012)","sex","2014","2015","2016","2017","2018"
"SE11 Stockholm","1-3 public sector","011 Commissioned armed forces officers","men",36300,39100,..,..,..
"SE11 Stockholm","1-3 public sector","011 Commissioned armed forces officers","women",32900,32800,..,..,..
"SE11 Stockholm","1-3 public sector","021 Non-commissioned armed forces officers","men",31600,28900,..,..,..
"SE11 Stockholm","1-3 public sector","021 Non-commissioned armed forces officers","women",31000,31900,..,..,..
"SE11 Stockholm","1-3 public sector","031 Armed forces occupations, other ranks","men",23300,23100,..,..,..
"SE11 Stockholm","1-3 public sector","031 Armed forces occupations, other ranks","women",23000,23200,..,..,..
"SE11 Stockholm","1-3 public sector","111 Legislators and senior officials","men",95300,91900,94600,97500,105400
"SE11 Stockholm","1-3 public sector","111 Legislators and senior officials","women",89000,88800,92300,95700,106000
"SE11 Stockholm","1-3 public sector","112 Managing directors and chief executives","men",..,..,105200,111400,..
"SE11 Stockholm","1-3 public sector","112 Managing directors and chief executives","women",..,89300,95700,96800,..
"SE11 Stockholm","1-3 public sector","121 Finance managers","men",62500,64900,66200,67900,70900
"SE11 Stockholm","1-3 public sector","121 Finance managers","women",58000,60200,61900,64200,65400
"SE11 Stockholm","1-3 public sector","122 Human resource managers","men",60500,60500,60900,63300,65400
"SE11 Stockholm","1-3 public sector","122 Human resource managers","women",60100,60900,62500,63000,64800
"SE11 Stockholm","1-3 public sector","123 Administration and planning managers","men",57300,58800,65700,66400,68600
"SE11 Stockholm","1-3 public sector","123 Administration and planning managers","women",59000,61900,61600,63000,65900
"SE11 Stockholm","1-3 public sector","124 Information, communication and public relations managers","men",58400,57800,60800,62700,67000
"SE11 Stockholm","1-3 public sector","124 Information, communication and public relations managers","women",55400,57100,59800,61500,61500
"SE11 Stockholm","1-3 public sector","125 Sales and marketing managers","men",61500,61700,61200,61100,62100
"SE11 Stockholm","1-3 public sector","125 Sales and marketing managers","women",53900,55400,57200,59000,60000
"SE11 Stockholm","1-3 public sector","129 Administration and service managers not elsewhere classified","men",44000,47700,46000,48200,61200
"SE11 Stockholm","1-3 public sector","129 Administration and service managers not elsewhere classified","women",39300,41100,44200,44300,58100
"SE11 Stockholm","1-3 public sector","131 Information and communications technology service managers","men",55900,56500,59600,61900,63700
"SE11 Stockholm","1-3 public sector","131 Information and communications technology service managers","women",56900,57200,59000,60200,63900
"SE11 Stockholm","1-3 public sector","132 Supply, logistics and transport managers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","132 Supply, logistics and transport managers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","133 Research and development managers","men",55900,55000,56600,56000,57200
"SE11 Stockholm","1-3 public sector","133 Research and development managers","women",52100,52200,52700,52800,55300
"SE11 Stockholm","1-3 public sector","134 Architectural and engineering managers","men",53200,55500,57300,58600,60700
"SE11 Stockholm","1-3 public sector","134 Architectural and engineering managers","women",54300,56000,57800,58600,61200
"SE11 Stockholm","1-3 public sector","135 Real estate and head of administration manager","men",51700,52800,55800,56000,58500
"SE11 Stockholm","1-3 public sector","135 Real estate and head of administration manager","women",58500,59400,60000,59100,63600
"SE11 Stockholm","1-3 public sector","136 Production managers in construction and mining","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","136 Production managers in construction and mining","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","137 Production managers in manufacturing","men",56000,58600,64600,63800,63700
"SE11 Stockholm","1-3 public sector","137 Production managers in manufacturing","women",81900,72900,61300,62100,65100
"SE11 Stockholm","1-3 public sector","138 Forestry and agricultural production managers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","138 Forestry and agricultural production managers","women",31700,..,34700,37500,41300
"SE11 Stockholm","1-3 public sector","141 Primary and secondary schools and adult education managers","men",50700,52100,53500,56400,58100
"SE11 Stockholm","1-3 public sector","141 Primary and secondary schools and adult education managers","women",48100,49800,51600,54200,55800
"SE11 Stockholm","1-3 public sector","142 Preschool managers","men",43800,45500,46900,50400,50100
"SE11 Stockholm","1-3 public sector","142 Preschool managers","women",44700,46000,47700,48900,50500
"SE11 Stockholm","1-3 public sector","149 Education managers not elsewhere classified","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","149 Education managers not elsewhere classified","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","151 Health care managers","men",70400,71300,75400,77800,80000
"SE11 Stockholm","1-3 public sector","151 Health care managers","women",52200,53000,55300,56000,57300
"SE11 Stockholm","1-3 public sector","152 Managers in social and curative care","men",46300,47400,47600,48900,51000
"SE11 Stockholm","1-3 public sector","152 Managers in social and curative care","women",46200,47500,49000,50500,52000
"SE11 Stockholm","1-3 public sector","153 Elderly care managers","men",42600,43700,45000,46100,48300
"SE11 Stockholm","1-3 public sector","153 Elderly care managers","women",41900,43100,44800,46500,48300
"SE11 Stockholm","1-3 public sector","154 Managers and leaders within religious bodies","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","154 Managers and leaders within religious bodies","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","159 Other social services managers","men",50600,53100,53200,55700,56900
"SE11 Stockholm","1-3 public sector","159 Other social services managers","women",49000,50400,51200,53100,54800
"SE11 Stockholm","1-3 public sector","161 Financial and insurance managers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","161 Financial and insurance managers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","171 Hotel and conference managers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","171 Hotel and conference managers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","172 Restaurant managers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","172 Restaurant managers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","173 Retail and wholesale trade managers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","173 Retail and wholesale trade managers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","174 Sports, leisure and wellness managers","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","174 Sports, leisure and wellness managers","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","179 Other services managers not elsewhere classified","men",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","179 Other services managers not elsewhere classified","women",..,..,..,..,..
"SE11 Stockholm","1-3 public sector","211 Physicists and chemists","men",41100,41900,42900,43900,45000
"SE11 Stockholm","1-3 public sector","211 Physicists and chemists","women",37900,38400,38800,39800,41100
"SE11 Stockholm","1-3 public sector","212 Mathematicians, actuaries and statisticians","men",38100,39200,39900,40700,42000
"SE11 Stockholm","1-3 public sector","212 Mathematicians, actuaries and statisticians","women",36900,37500,37700,39800,41300
"SE11 Stockholm","1-3 public sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","men",35700,37100,38700,38800,38900
"SE11 Stockholm","1-3 public sector","213 Biologists, pharmacologists and specialists in agriculture and forestry","women",34900,35900,36600,36800,38200
