"sector","occuptional  (SSYK 2012)","sex","level of education","2014","2015","2016","2017","2018"
"1-3 public sector","011 Commissioned armed forces officers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,31900,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","men","upper secondary education 3 years (ISCED97 3A)",31000,32000,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",36600,34600,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","men","post-secondary education 3 years or more (ISCED97 5A)",40100,38700,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","men","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",30800,32200,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","post-secondary education 3 years or more (ISCED97 5A)",31400,33100,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","primary and secondary education 9-10 years (ISCED97 2)",25300,23600,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","upper secondary education, 2 years or less (ISCED97 3C)",26800,26900,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","upper secondary education 3 years (ISCED97 3A)",25500,24800,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",29300,28500,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","post-secondary education 3 years or more (ISCED97 5A)",35700,33200,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","upper secondary education 3 years (ISCED97 3A)",23500,24600,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",27900,28400,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","post-secondary education 3 years or more (ISCED97 5A)",32100,28200,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","no information about level of educational attainment",..,..,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","primary and secondary education 9-10 years (ISCED97 2)",21900,22000,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","upper secondary education, 2 years or less (ISCED97 3C)",22100,23200,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","upper secondary education 3 years (ISCED97 3A)",21400,21600,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","post-secondary education, less than 3 years (ISCED97 4+5B)",22000,22200,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","post-secondary education 3 years or more (ISCED97 5A)",24600,24900,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","men","no information about level of educational attainment",21000,21400,..,..,..
"1-3 public sector","031 Armed forces occupations, other ranks","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
