"sector","occuptional  (SSYK 2012)","sex","age","2014","2015","2016","2017","2018","2019"
"0 all sectors","214 Engineering professionals","men","18-24 years",28600,29400,27300,30300,30600,31300
"0 all sectors","214 Engineering professionals","men","25-34 years",35600,36200,36000,36900,37600,39300
"0 all sectors","214 Engineering professionals","men","35-44 years",43500,44400,44800,45700,47200,47400
"0 all sectors","214 Engineering professionals","men","45-54 years",47400,47100,48400,49700,50900,52100
"0 all sectors","214 Engineering professionals","men","55-64 years",48000,49000,49800,50200,52100,52800
"0 all sectors","214 Engineering professionals","men","65-66 years",47400,..,51200,46600,49300,52800
"0 all sectors","214 Engineering professionals","women","18-24 years",26600,29200,29500,31000,30900,..
"0 all sectors","214 Engineering professionals","women","25-34 years",35000,34800,35000,35900,37100,37900
"0 all sectors","214 Engineering professionals","women","35-44 years",42600,42900,43400,45100,45000,45700
"0 all sectors","214 Engineering professionals","women","45-54 years",44800,44900,46300,48400,50000,50600
"0 all sectors","214 Engineering professionals","women","55-64 years",44700,45900,46800,45600,49800,52100
"0 all sectors","214 Engineering professionals","women","65-66 years",..,..,..,..,..,..
