"region","age","level of education","sex","2014","2015","2016","2017","2018"
"SE11 Stockholm","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",28314,27130,26311,25559,24693
"SE11 Stockholm","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",28747,27826,27020,26121,25275
"SE11 Stockholm","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",113898,113524,114547,115238,116549
"SE11 Stockholm","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",88552,87158,87075,87078,87393
"SE11 Stockholm","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",136384,135809,135695,134339,133326
"SE11 Stockholm","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",134049,132368,130469,127022,124567
"SE11 Stockholm","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",180917,183278,185251,189037,190342
"SE11 Stockholm","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",161033,162964,164048,167095,167823
"SE11 Stockholm","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",123046,126074,128887,131046,133398
"SE11 Stockholm","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",130984,133315,135308,137005,138764
"SE11 Stockholm","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",190037,195634,201412,206765,214381
"SE11 Stockholm","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",237680,246562,255301,263154,271889
"SE11 Stockholm","total 16-74 years","post-graduate education (ISCED97 6)","men",14406,14634,14864,15108,15251
"SE11 Stockholm","total 16-74 years","post-graduate education (ISCED97 6)","women",9901,10303,10661,11124,11564
"SE11 Stockholm","total 16-74 years","no information about level of educational attainment","men",26918,28751,31931,35831,37043
"SE11 Stockholm","total 16-74 years","no information about level of educational attainment","women",19028,19541,20900,22662,23902
"SE12 East-Central Sweden","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","men",35812,33954,32352,30370,28247
"SE12 East-Central Sweden","total 16-74 years","primary and secondary education less than 9 years (ISCED97 1)","women",32721,31247,29699,28214,26662
"SE12 East-Central Sweden","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","men",90618,90465,91810,92900,94465
"SE12 East-Central Sweden","total 16-74 years","primary and secondary education 9-10 years (ISCED97 2)","women",73062,72217,72243,72331,72724
"SE12 East-Central Sweden","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","men",139467,138899,138359,136835,135348
"SE12 East-Central Sweden","total 16-74 years","upper secondary education, 2 years or less (ISCED97 3C)","women",128286,126311,124538,122046,119203
"SE12 East-Central Sweden","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","men",149846,152605,155190,158577,160461
"SE12 East-Central Sweden","total 16-74 years","upper secondary education 3 years (ISCED97 3A)","women",124948,126996,128538,131445,133049
"SE12 East-Central Sweden","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","men",77927,79260,80818,82474,83899
"SE12 East-Central Sweden","total 16-74 years","post-secondary education, less than 3 years (ISCED97 4+5B)","women",83837,85121,86622,87900,89125
"SE12 East-Central Sweden","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","men",86959,88671,91236,93125,95389
"SE12 East-Central Sweden","total 16-74 years","post-secondary education 3 years or more (ISCED97 5A)","women",127364,131314,135591,139642,144035
"SE12 East-Central Sweden","total 16-74 years","post-graduate education (ISCED97 6)","men",9112,9230,9295,9494,9598
"SE12 East-Central Sweden","total 16-74 years","post-graduate education (ISCED97 6)","women",5710,5956,6179,6408,6647
"SE12 East-Central Sweden","total 16-74 years","no information about level of educational attainment","men",11027,11592,13683,15163,16570
"SE12 East-Central Sweden","total 16-74 years","no information about level of educational attainment","women",9064,9339,10795,11319,11969
