"","X.1","X","Länskod","Län","NUTS1","NUTS2","NUTS3","NUTS2_en","NUTS2_sh"
"1",1,1,1,"Stockholms","SE1 Östra Sverige","SE11 Stockholm","SE110","SE11 Stockholm","SE11"
"2",2,2,3,"Uppsala","SE1 Östra Sverige","SE12 Östra Mellansverige","SE121","SE12 East-Central Sweden","SE12"
"3",3,3,4,"Södermanlands","SE1 Östra Sverige","SE12 Östra Mellansverige","SE122","SE12 East-Central Sweden","SE12"
"4",4,4,5,"Östergötlands","SE1 Östra Sverige","SE12 Östra Mellansverige","SE123","SE12 East-Central Sweden","SE12"
"5",5,5,6,"Jönköpings","SE2 Södra Sverige","SE21 Småland med öarna","SE211","SE21 Småland and islands","SE21"
"6",6,6,7,"Kronobergs","SE2 Södra Sverige","SE21 Småland med öarna","SE212","SE21 Småland and islands","SE21"
"7",7,7,8,"Kalmar","SE2 Södra Sverige","SE21 Småland med öarna","SE213","SE21 Småland and islands","SE21"
"8",8,8,9,"Gotlands","SE2 Södra Sverige","SE21 Småland med öarna","SE214","SE21 Småland and islands","SE21"
"9",9,9,10,"Blekinge","SE2 Södra Sverige","SE22 Sydsverige","SE221","SE22 South Sweden","SE22"
"10",10,10,12,"Skåne","SE2 Södra Sverige","SE22 Sydsverige","SE224","SE22 South Sweden","SE22"
"11",11,11,13,"Hallands","SE2 Södra Sverige","SE23 Västsverige","SE231","SE23 West Sweden","SE23"
"12",12,12,14,"Västra Götalands","SE2 Södra Sverige","SE23 Västsverige","SE232","SE23 West Sweden","SE23"
"13",13,13,17,"Värmlands","SE3 Norra Sverige","SE31 Norra Mellansverige","SE311","SE31 North-Central Sweden","SE31"
"14",14,14,18,"Örebro","SE1 Östra Sverige","SE12 Östra Mellansverige","SE124","SE12 East-Central Sweden","SE12"
"15",15,15,19,"Västmanlands","SE1 Östra Sverige","SE12 Östra Mellansverige","SE125","SE12 East-Central Sweden","SE12"
"16",16,16,20,"Dalarnas","SE3 Norra Sverige","SE31 Norra Mellansverige","SE312","SE31 North-Central Sweden","SE31"
"17",17,17,21,"Gävleborgs","SE3 Norra Sverige","SE31 Norra Mellansverige","SE313","SE31 North-Central Sweden","SE31"
"18",18,18,22,"Västernorrlands","SE3 Norra Sverige","SE32 Mellersta Norrland","SE321","SE32 Central Norrland","SE32"
"19",19,19,23,"Jämtlands","SE3 Norra Sverige","SE32 Mellersta Norrland","SE322","SE32 Central Norrland","SE32"
"20",20,20,24,"Västerbottens","SE3 Norra Sverige","SE33 Övre Norrland","SE331","SE33 Upper Norrland","SE33"
"21",21,21,25,"Norrbottens","SE3 Norra Sverige","SE33 Övre Norrland","SE332","SE33 Upper Norrland","SE33"
