"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","dag {
eduquotient
nremployees
occuptional...SSYK.2012.
perc_women_region
perc_women_ssyk_region
regioneduyears
salary
salaryquotient
sum_pop
year_n
eduquotient -> occuptional...SSYK.2012.
eduquotient -> regioneduyears
eduquotient -> salaryquotient
nremployees -> eduquotient
nremployees -> occuptional...SSYK.2012.
nremployees -> sum_pop
nremployees -> year_n
perc_women_region -> eduquotient
perc_women_region -> regioneduyears
perc_women_region -> sum_pop
perc_women_region -> year_n
perc_women_ssyk_region -> nremployees
perc_women_ssyk_region -> occuptional...SSYK.2012.
perc_women_ssyk_region -> perc_women_region
perc_women_ssyk_region -> salaryquotient
regioneduyears -> occuptional...SSYK.2012.
salary -> nremployees
salary -> occuptional...SSYK.2012.
salary -> perc_women_region
salary -> perc_women_ssyk_region
salary -> salaryquotient
salary -> sum_pop
salary -> year_n
salaryquotient -> occuptional...SSYK.2012.
sum_pop -> eduquotient
sum_pop -> occuptional...SSYK.2012.
sum_pop -> regioneduyears
sum_pop -> salaryquotient
year_n -> eduquotient
year_n -> occuptional...SSYK.2012.
year_n -> regioneduyears
year_n -> salaryquotient
}
","0.0791762109386406","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","0.0742271651163677","0.014727552700941","0.0200697440840334","0.0969046762830486","0.0969046762830486","perc_women_region","nremployees","salary","year_n","perc_women_ssyk_region","hc"
"2","dag {
eduquotient
nremployees
occuptional...SSYK.2012.
perc_women_region
perc_women_ssyk_region
regioneduyears
salary
salaryquotient
sum_pop
year_n
eduquotient -> nremployees
eduquotient -> occuptional...SSYK.2012.
eduquotient -> perc_women_region
eduquotient -> regioneduyears
eduquotient -> salaryquotient
eduquotient -> sum_pop
nremployees -> occuptional...SSYK.2012.
nremployees -> perc_women_ssyk_region
nremployees -> salary
nremployees -> salaryquotient
nremployees -> sum_pop
perc_women_ssyk_region -> occuptional...SSYK.2012.
perc_women_ssyk_region -> salary
perc_women_ssyk_region -> salaryquotient
perc_women_ssyk_region -> sum_pop
regioneduyears -> occuptional...SSYK.2012.
regioneduyears -> perc_women_region
salary -> occuptional...SSYK.2012.
salary -> salaryquotient
salary -> sum_pop
salaryquotient -> occuptional...SSYK.2012.
salaryquotient -> perc_women_region
salaryquotient -> sum_pop
sum_pop -> occuptional...SSYK.2012.
sum_pop -> perc_women_region
sum_pop -> regioneduyears
year_n -> eduquotient
year_n -> occuptional...SSYK.2012.
year_n -> perc_women_region
year_n -> regioneduyears
year_n -> salary
year_n -> salaryquotient
}
","0.0768370277606047","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","0.127913309616988","0.0240725722957773","0.0196466214647","0.0768370277606047","0.0768370277606047","eduquotient","nremployees","salary","year_n","perc_women_ssyk_region","tabu"
"3","dag {
eduquotient
nremployees
occuptional...SSYK.2012.
perc_women_region
perc_women_ssyk_region
regioneduyears
salary
salaryquotient
sum_pop
year_n
eduquotient -> nremployees
eduquotient -> occuptional...SSYK.2012.
eduquotient -> salaryquotient
occuptional...SSYK.2012. -> nremployees
perc_women_region -> eduquotient
perc_women_region -> nremployees
perc_women_region -> perc_women_ssyk_region
perc_women_region -> regioneduyears
perc_women_region -> year_n
perc_women_ssyk_region -> nremployees
perc_women_ssyk_region -> occuptional...SSYK.2012.
perc_women_ssyk_region -> salary
perc_women_ssyk_region -> salaryquotient
regioneduyears -> eduquotient
regioneduyears -> occuptional...SSYK.2012.
salary -> nremployees
salary -> occuptional...SSYK.2012.
salary -> salaryquotient
salary -> year_n
salaryquotient -> occuptional...SSYK.2012.
sum_pop -> eduquotient
sum_pop -> nremployees
sum_pop -> occuptional...SSYK.2012.
sum_pop -> perc_women_region
sum_pop -> regioneduyears
sum_pop -> salary
sum_pop -> salaryquotient
year_n -> eduquotient
year_n -> occuptional...SSYK.2012.
year_n -> regioneduyears
year_n -> salaryquotient
}
","0.0622384303663629","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","0.0235616184139531","0.0211363693604531","0.0745802647077062","0.0745802647077062","perc_women_region","sum_pop","salary","year_n","perc_women_ssyk_region","tabu"
"4","dag {
eduquotient
nremployees
occuptional...SSYK.2012.
perc_women_region
perc_women_ssyk_region
regioneduyears
salary
salaryquotient
sum_pop
year_n
eduquotient -> nremployees
eduquotient -> occuptional...SSYK.2012.
eduquotient -> perc_women_region
eduquotient -> regioneduyears
eduquotient -> salaryquotient
eduquotient -> sum_pop
occuptional...SSYK.2012. -> nremployees
perc_women_region -> nremployees
perc_women_ssyk_region -> eduquotient
perc_women_ssyk_region -> nremployees
perc_women_ssyk_region -> occuptional...SSYK.2012.
perc_women_ssyk_region -> salary
perc_women_ssyk_region -> salaryquotient
regioneduyears -> occuptional...SSYK.2012.
regioneduyears -> perc_women_region
salary -> nremployees
salary -> occuptional...SSYK.2012.
salary -> salaryquotient
salary -> sum_pop
salaryquotient -> occuptional...SSYK.2012.
salaryquotient -> perc_women_region
sum_pop -> nremployees
sum_pop -> occuptional...SSYK.2012.
sum_pop -> perc_women_region
sum_pop -> regioneduyears
sum_pop -> salaryquotient
year_n -> eduquotient
year_n -> occuptional...SSYK.2012.
year_n -> perc_women_region
year_n -> regioneduyears
year_n -> salary
year_n -> salaryquotient
}
","0.0603379923741094","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","0.106310073074158","0.0109256655403579","0.00907421142260182","0.0620419907879335","0.0620419907879335","eduquotient","sum_pop","salary","year_n","perc_women_ssyk_region","tabu"
"5","dag {
eduquotient
nremployees
occuptional...SSYK.2012.
perc_women_region
perc_women_ssyk_region
regioneduyears
salary
salaryquotient
sum_pop
year_n
eduquotient -> nremployees
eduquotient -> occuptional...SSYK.2012.
eduquotient -> salaryquotient
occuptional...SSYK.2012. -> nremployees
perc_women_region -> eduquotient
perc_women_region -> nremployees
perc_women_region -> sum_pop
perc_women_region -> year_n
perc_women_ssyk_region -> nremployees
perc_women_ssyk_region -> occuptional...SSYK.2012.
perc_women_ssyk_region -> perc_women_region
perc_women_ssyk_region -> salaryquotient
regioneduyears -> eduquotient
regioneduyears -> occuptional...SSYK.2012.
regioneduyears -> perc_women_region
regioneduyears -> salary
regioneduyears -> sum_pop
regioneduyears -> year_n
salary -> nremployees
salary -> occuptional...SSYK.2012.
salary -> perc_women_ssyk_region
salary -> salaryquotient
salary -> sum_pop
salary -> year_n
salaryquotient -> occuptional...SSYK.2012.
sum_pop -> eduquotient
sum_pop -> nremployees
sum_pop -> occuptional...SSYK.2012.
sum_pop -> salaryquotient
year_n -> eduquotient
year_n -> occuptional...SSYK.2012.
year_n -> salaryquotient
year_n -> sum_pop
}
","0.0646479915399552","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","0.0930424348092534","0.0118063775248617","0.0102312689017871","0.0651611956235099","0.0651611956235099","perc_women_region","regioneduyears","salary","year_n","perc_women_ssyk_region","tabu"
"6","dag {
eduquotient
nremployees
occuptional...SSYK.2012.
perc_women_region
perc_women_ssyk_region
regioneduyears
salary
salaryquotient
sum_pop
year_n
eduquotient -> nremployees
eduquotient -> occuptional...SSYK.2012.
eduquotient -> perc_women_region
eduquotient -> regioneduyears
eduquotient -> salaryquotient
eduquotient -> sum_pop
occuptional...SSYK.2012. -> nremployees
perc_women_region -> nremployees
perc_women_ssyk_region -> eduquotient
perc_women_ssyk_region -> nremployees
perc_women_ssyk_region -> occuptional...SSYK.2012.
perc_women_ssyk_region -> salary
perc_women_ssyk_region -> salaryquotient
regioneduyears -> occuptional...SSYK.2012.
regioneduyears -> perc_women_region
regioneduyears -> sum_pop
salary -> nremployees
salary -> occuptional...SSYK.2012.
salary -> regioneduyears
salary -> salaryquotient
salary -> sum_pop
salaryquotient -> occuptional...SSYK.2012.
salaryquotient -> perc_women_region
sum_pop -> nremployees
sum_pop -> occuptional...SSYK.2012.
sum_pop -> perc_women_region
sum_pop -> salaryquotient
year_n -> eduquotient
year_n -> occuptional...SSYK.2012.
year_n -> perc_women_region
year_n -> regioneduyears
year_n -> salary
year_n -> salaryquotient
year_n -> sum_pop
}
","0.070272502646817","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","0.130195847760725","0.00860131102959434","0.00528113232679079","0.0750928740088866","0.0750928740088866","eduquotient","regioneduyears","salary","year_n","perc_women_ssyk_region","tabu"
"7","dag {
eduquotient
nremployees
occuptional...SSYK.2012.
perc_women_region
perc_women_ssyk_region
regioneduyears
salary
salaryquotient
sum_pop
year_n
eduquotient -> salaryquotient
nremployees -> eduquotient
nremployees -> occuptional...SSYK.2012.
nremployees -> perc_women_ssyk_region
nremployees -> sum_pop
occuptional...SSYK.2012. -> eduquotient
occuptional...SSYK.2012. -> salary
occuptional...SSYK.2012. -> salaryquotient
perc_women_region -> eduquotient
perc_women_region -> regioneduyears
perc_women_region -> salary
perc_women_region -> sum_pop
perc_women_ssyk_region -> occuptional...SSYK.2012.
perc_women_ssyk_region -> perc_women_region
perc_women_ssyk_region -> salary
perc_women_ssyk_region -> salaryquotient
regioneduyears -> eduquotient
salary -> salaryquotient
salary -> sum_pop
sum_pop -> eduquotient
sum_pop -> regioneduyears
sum_pop -> salaryquotient
year_n -> eduquotient
year_n -> perc_women_region
year_n -> regioneduyears
year_n -> salary
year_n -> salaryquotient
}
","0.0841311333320902","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","0.0727273438688434","0.0189755089075522","0.0189755089075522","0.0846113414978209","0.0846113414978209","perc_women_region","nremployees","occuptional...SSYK.2012.","year_n","perc_women_ssyk_region","hc"
"8","dag {
eduquotient
nremployees
occuptional...SSYK.2012.
perc_women_region
perc_women_ssyk_region
regioneduyears
salary
salaryquotient
sum_pop
year_n
eduquotient -> nremployees
eduquotient -> perc_women_region
eduquotient -> regioneduyears
eduquotient -> salary
eduquotient -> salaryquotient
eduquotient -> sum_pop
nremployees -> perc_women_ssyk_region
nremployees -> salaryquotient
nremployees -> sum_pop
occuptional...SSYK.2012. -> eduquotient
occuptional...SSYK.2012. -> nremployees
occuptional...SSYK.2012. -> perc_women_ssyk_region
occuptional...SSYK.2012. -> regioneduyears
occuptional...SSYK.2012. -> salary
occuptional...SSYK.2012. -> salaryquotient
occuptional...SSYK.2012. -> sum_pop
perc_women_ssyk_region -> salary
perc_women_ssyk_region -> salaryquotient
regioneduyears -> perc_women_region
salary -> regioneduyears
salary -> sum_pop
salaryquotient -> perc_women_region
salaryquotient -> salary
salaryquotient -> sum_pop
sum_pop -> perc_women_region
sum_pop -> regioneduyears
year_n -> eduquotient
year_n -> perc_women_region
year_n -> regioneduyears
year_n -> salary
year_n -> salaryquotient
}
","0.046379110629435","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","0.113022760178817","0.0163302956560968","0.0128193609779924","0.046379110629435","0.046379110629435","eduquotient","nremployees","occuptional...SSYK.2012.","year_n","perc_women_ssyk_region","tabu"
"9","dag {
eduquotient
nremployees
occuptional...SSYK.2012.
perc_women_region
perc_women_ssyk_region
regioneduyears
salary
salaryquotient
sum_pop
year_n
eduquotient -> nremployees
eduquotient -> regioneduyears
eduquotient -> salaryquotient
nremployees -> salary
occuptional...SSYK.2012. -> nremployees
occuptional...SSYK.2012. -> perc_women_region
occuptional...SSYK.2012. -> perc_women_ssyk_region
occuptional...SSYK.2012. -> regioneduyears
occuptional...SSYK.2012. -> salary
occuptional...SSYK.2012. -> salaryquotient
perc_women_region -> eduquotient
perc_women_region -> nremployees
perc_women_region -> perc_women_ssyk_region
perc_women_region -> regioneduyears
perc_women_region -> salary
perc_women_ssyk_region -> nremployees
perc_women_ssyk_region -> salary
perc_women_ssyk_region -> salaryquotient
salary -> regioneduyears
salary -> salaryquotient
sum_pop -> eduquotient
sum_pop -> nremployees
sum_pop -> occuptional...SSYK.2012.
sum_pop -> perc_women_region
sum_pop -> regioneduyears
sum_pop -> salary
sum_pop -> salaryquotient
year_n -> eduquotient
year_n -> perc_women_region
year_n -> regioneduyears
year_n -> salary
year_n -> salaryquotient
}
","0.0564806301113592","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","0.0690284920378299","0.0162954255931002","0.0207030820572422","0.0599871452568311","0.0599871452568311","perc_women_region","sum_pop","occuptional...SSYK.2012.","year_n","perc_women_ssyk_region","hc"
"10","dag {
eduquotient
nremployees
occuptional...SSYK.2012.
perc_women_region
perc_women_ssyk_region
regioneduyears
salary
salaryquotient
sum_pop
year_n
eduquotient -> nremployees
eduquotient -> occuptional...SSYK.2012.
eduquotient -> perc_women_region
eduquotient -> regioneduyears
eduquotient -> salaryquotient
eduquotient -> year_n
nremployees -> salary
occuptional...SSYK.2012. -> nremployees
occuptional...SSYK.2012. -> regioneduyears
occuptional...SSYK.2012. -> salary
occuptional...SSYK.2012. -> salaryquotient
perc_women_region -> nremployees
perc_women_region -> regioneduyears
perc_women_region -> salary
perc_women_ssyk_region -> eduquotient
perc_women_ssyk_region -> nremployees
perc_women_ssyk_region -> occuptional...SSYK.2012.
perc_women_ssyk_region -> salary
perc_women_ssyk_region -> salaryquotient
salary -> regioneduyears
salary -> salaryquotient
sum_pop -> eduquotient
sum_pop -> nremployees
sum_pop -> perc_women_region
sum_pop -> regioneduyears
sum_pop -> salary
sum_pop -> salaryquotient
year_n -> perc_women_region
year_n -> regioneduyears
year_n -> salary
year_n -> salaryquotient
}
","0.0454830301472193","Inf","Inf","Inf","Inf","Inf","Inf","Inf","Inf","0.107896179889152","0.0236108281498534","0.0236108281498534","0.0970209437850142","0.0970209437850142","eduquotient","sum_pop","occuptional...SSYK.2012.","year_n","perc_women_ssyk_region","hc"
