"sector","occuptional  (SSYK 2012)","sex","age","2014","2015","2016","2017","2018"
"0 all sectors","011 Commissioned armed forces officers","men","18-24 years",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","25-34 years",30900,30400,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","35-44 years",40800,36100,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","45-54 years",47700,41300,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","55-64 years",..,41000,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","65-66 years",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","18-24 years",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","25-34 years",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","35-44 years",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","45-54 years",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","55-64 years",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","65-66 years",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","18-24 years",23600,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","25-34 years",27000,27600,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","35-44 years",33300,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","45-54 years",38300,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","55-64 years",38000,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","65-66 years",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","18-24 years",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","25-34 years",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","35-44 years",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","45-54 years",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","55-64 years",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","65-66 years",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","18-24 years",21000,20900,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","25-34 years",22400,22900,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","35-44 years",23800,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","45-54 years",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","55-64 years",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","65-66 years",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","18-24 years",20600,20700,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","25-34 years",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","35-44 years",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","45-54 years",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","55-64 years",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","65-66 years",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","men","18-24 years",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","men","25-34 years",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","men","35-44 years",..,56600,53600,62700,..
"0 all sectors","111 Legislators and senior officials","men","45-54 years",72400,69300,70600,71600,66900
"0 all sectors","111 Legislators and senior officials","men","55-64 years",71000,74600,73500,69800,90000
"0 all sectors","111 Legislators and senior officials","men","65-66 years",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","women","18-24 years",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","women","25-34 years",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","women","35-44 years",56000,52200,55700,65800,..
"0 all sectors","111 Legislators and senior officials","women","45-54 years",60500,66300,65400,65300,68200
"0 all sectors","111 Legislators and senior officials","women","55-64 years",73500,71000,74800,69800,..
"0 all sectors","111 Legislators and senior officials","women","65-66 years",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","men","18-24 years",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","men","25-34 years",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","men","35-44 years",64500,65800,69700,76000,71100
"0 all sectors","112 Managing directors and chief executives","men","45-54 years",92700,..,79700,77000,82400
"0 all sectors","112 Managing directors and chief executives","men","55-64 years",74400,78500,77200,79400,81000
"0 all sectors","112 Managing directors and chief executives","men","65-66 years",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","women","18-24 years",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","women","25-34 years",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","women","35-44 years",55000,53200,..,63400,73200
"0 all sectors","112 Managing directors and chief executives","women","45-54 years",76700,71600,80800,73100,..
"0 all sectors","112 Managing directors and chief executives","women","55-64 years",..,..,..,67100,..
"0 all sectors","112 Managing directors and chief executives","women","65-66 years",..,..,..,..,..
"0 all sectors","121 Finance managers","men","18-24 years",..,..,..,..,..
"0 all sectors","121 Finance managers","men","25-34 years",45900,50400,59700,51000,56000
"0 all sectors","121 Finance managers","men","35-44 years",66800,72300,71400,72000,76000
"0 all sectors","121 Finance managers","men","45-54 years",86100,81400,80100,81400,88500
"0 all sectors","121 Finance managers","men","55-64 years",66000,72100,74200,..,75400
"0 all sectors","121 Finance managers","men","65-66 years",..,..,..,..,..
"0 all sectors","121 Finance managers","women","18-24 years",..,..,..,..,..
"0 all sectors","121 Finance managers","women","25-34 years",40700,41100,39500,42400,45800
"0 all sectors","121 Finance managers","women","35-44 years",48300,..,59100,54100,55500
"0 all sectors","121 Finance managers","women","45-54 years",53800,56700,58200,60900,63000
"0 all sectors","121 Finance managers","women","55-64 years",45000,51200,49600,52700,59300
"0 all sectors","121 Finance managers","women","65-66 years",..,..,..,..,..
"0 all sectors","122 Human resource managers","men","18-24 years",..,..,..,..,..
"0 all sectors","122 Human resource managers","men","25-34 years",39000,..,..,..,..
"0 all sectors","122 Human resource managers","men","35-44 years",49900,62800,..,..,57900
"0 all sectors","122 Human resource managers","men","45-54 years",57600,60000,66000,68800,72600
"0 all sectors","122 Human resource managers","men","55-64 years",..,66500,66200,73000,75600
"0 all sectors","122 Human resource managers","men","65-66 years",..,..,..,..,..
"0 all sectors","122 Human resource managers","women","18-24 years",..,..,..,..,..
"0 all sectors","122 Human resource managers","women","25-34 years",37200,41200,44900,41600,41700
"0 all sectors","122 Human resource managers","women","35-44 years",53300,51700,54100,61100,58400
"0 all sectors","122 Human resource managers","women","45-54 years",58300,57300,62500,67300,65800
"0 all sectors","122 Human resource managers","women","55-64 years",61300,60000,58900,65000,66200
"0 all sectors","122 Human resource managers","women","65-66 years",..,..,..,..,..
"0 all sectors","123 Administration and planning managers","men","18-24 years",..,..,..,..,..
"0 all sectors","123 Administration and planning managers","men","25-34 years",36800,36400,44100,45000,43800
"0 all sectors","123 Administration and planning managers","men","35-44 years",53800,54900,60600,64800,66300
"0 all sectors","123 Administration and planning managers","men","45-54 years",63100,64200,71400,71900,69400
"0 all sectors","123 Administration and planning managers","men","55-64 years",59400,67200,71200,72700,76800
"0 all sectors","123 Administration and planning managers","men","65-66 years",..,..,..,..,..
"0 all sectors","123 Administration and planning managers","women","18-24 years",..,..,..,..,..
"0 all sectors","123 Administration and planning managers","women","25-34 years",37200,41300,42500,41500,43400
"0 all sectors","123 Administration and planning managers","women","35-44 years",49800,52800,53600,53600,56300
"0 all sectors","123 Administration and planning managers","women","45-54 years",57600,56600,56100,61900,63700
"0 all sectors","123 Administration and planning managers","women","55-64 years",55700,56300,58700,61700,67800
"0 all sectors","123 Administration and planning managers","women","65-66 years",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","men","18-24 years",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","men","25-34 years",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","men","35-44 years",..,60200,53200,58300,63200
"0 all sectors","124 Information, communication and public relations managers","men","45-54 years",72600,61100,67800,62800,73800
"0 all sectors","124 Information, communication and public relations managers","men","55-64 years",75200,67800,72900,72000,72700
"0 all sectors","124 Information, communication and public relations managers","men","65-66 years",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","women","18-24 years",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","women","25-34 years",..,..,..,..,..
"0 all sectors","124 Information, communication and public relations managers","women","35-44 years",54800,56400,55800,59900,55400
"0 all sectors","124 Information, communication and public relations managers","women","45-54 years",59600,62200,64900,63100,71700
"0 all sectors","124 Information, communication and public relations managers","women","55-64 years",60600,59200,62800,71600,..
"0 all sectors","124 Information, communication and public relations managers","women","65-66 years",..,..,..,..,..
"0 all sectors","125 Sales and marketing managers","men","18-24 years",25300,27500,..,..,..
"0 all sectors","125 Sales and marketing managers","men","25-34 years",45400,46100,51700,51700,44200
"0 all sectors","125 Sales and marketing managers","men","35-44 years",61500,62500,65100,63100,65800
"0 all sectors","125 Sales and marketing managers","men","45-54 years",61900,65300,67900,62100,68300
"0 all sectors","125 Sales and marketing managers","men","55-64 years",65100,66600,67300,67100,75900
"0 all sectors","125 Sales and marketing managers","men","65-66 years",..,..,..,..,..
"0 all sectors","125 Sales and marketing managers","women","18-24 years",24100,24900,..,..,..
"0 all sectors","125 Sales and marketing managers","women","25-34 years",40500,36300,43300,42300,46000
"0 all sectors","125 Sales and marketing managers","women","35-44 years",54100,56300,54800,56800,57700
"0 all sectors","125 Sales and marketing managers","women","45-54 years",54900,63000,67500,58300,59800
"0 all sectors","125 Sales and marketing managers","women","55-64 years",56000,..,..,..,60100
"0 all sectors","125 Sales and marketing managers","women","65-66 years",..,..,..,..,..
"0 all sectors","129 Administration and service managers not elsewhere classified","men","18-24 years",..,..,..,..,..
"0 all sectors","129 Administration and service managers not elsewhere classified","men","25-34 years",38700,41000,41300,42500,..
"0 all sectors","129 Administration and service managers not elsewhere classified","men","35-44 years",52400,55200,56500,58000,58300
"0 all sectors","129 Administration and service managers not elsewhere classified","men","45-54 years",57200,58500,62200,..,63600
"0 all sectors","129 Administration and service managers not elsewhere classified","men","55-64 years",58200,53200,58000,60000,61200
"0 all sectors","129 Administration and service managers not elsewhere classified","men","65-66 years",..,..,..,..,..
"0 all sectors","129 Administration and service managers not elsewhere classified","women","18-24 years",..,..,..,..,..
"0 all sectors","129 Administration and service managers not elsewhere classified","women","25-34 years",35800,..,29300,38000,37100
"0 all sectors","129 Administration and service managers not elsewhere classified","women","35-44 years",47100,47400,50200,47500,50100
"0 all sectors","129 Administration and service managers not elsewhere classified","women","45-54 years",50300,49700,53000,54200,54100
"0 all sectors","129 Administration and service managers not elsewhere classified","women","55-64 years",48700,45700,49400,50800,51000
"0 all sectors","129 Administration and service managers not elsewhere classified","women","65-66 years",..,..,..,..,..
"0 all sectors","131 Information and communications technology service managers","men","18-24 years",..,..,..,..,..
"0 all sectors","131 Information and communications technology service managers","men","25-34 years",41800,41500,45400,43900,44000
"0 all sectors","131 Information and communications technology service managers","men","35-44 years",54900,56800,59000,57400,62900
"0 all sectors","131 Information and communications technology service managers","men","45-54 years",57100,58000,64700,63700,61000
"0 all sectors","131 Information and communications technology service managers","men","55-64 years",57200,59000,65700,57200,65700
"0 all sectors","131 Information and communications technology service managers","men","65-66 years",..,..,..,..,..
"0 all sectors","131 Information and communications technology service managers","women","18-24 years",..,..,..,..,..
