"sector","occuptional  (SSYK 2012)","sex","age","2014","2015","2016","2017","2018"
"1-3 public sector","011 Commissioned armed forces officers","men","18-24 years",24500,24700,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","men","25-34 years",30900,30400,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","men","35-44 years",40800,36100,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","men","45-54 years",47700,41300,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","men","55-64 years",43800,41000,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","men","65-66 years",..,..,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","18-24 years",23300,..,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","25-34 years",28900,28100,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","35-44 years",41100,35100,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","45-54 years",..,37400,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","55-64 years",..,..,..,..,..
"1-3 public sector","011 Commissioned armed forces officers","women","65-66 years",..,..,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","18-24 years",23600,24500,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","25-34 years",27000,27600,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","35-44 years",33300,29400,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","45-54 years",38300,34400,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","55-64 years",38000,36400,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","men","65-66 years",..,..,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","18-24 years",23000,24400,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","25-34 years",27200,28500,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","35-44 years",34100,27300,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","45-54 years",37200,..,..,..,..
"1-3 public sector","021 Non-commissioned armed forces officers","women","55-64 years",..,..,..,..,..
