"region","sector","occuptional  (SSYK 2012)","sex","2015","2016","2017","2018"
"SE11 Stockholm","1 central government","0000 All","men",33100,33500,34000,33800
"SE11 Stockholm","1 central government","0000 All","women",36500,37300,38100,38300
"SE11 Stockholm","1 central government","011 Commissioned armed forces officers","men",250,0,0,0
"SE11 Stockholm","1 central government","011 Commissioned armed forces officers","women",10,0,0,0
"SE11 Stockholm","1 central government","021 Non-commissioned armed forces officers","men",110,0,0,0
"SE11 Stockholm","1 central government","021 Non-commissioned armed forces officers","women",10,0,0,0
"SE11 Stockholm","1 central government","031 Armed forces occupations, other ranks","men",790,0,0,0
"SE11 Stockholm","1 central government","031 Armed forces occupations, other ranks","women",110,0,0,0
"SE11 Stockholm","1 central government","111 Legislators and senior officials","men",50,50,50,110
"SE11 Stockholm","1 central government","111 Legislators and senior officials","women",50,50,60,100
"SE11 Stockholm","1 central government","112 Managing directors and chief executives","men",0,0,0,0
"SE11 Stockholm","1 central government","112 Managing directors and chief executives","women",10,10,10,0
"SE11 Stockholm","1 central government","121 Finance managers","men",100,110,110,110
"SE11 Stockholm","1 central government","121 Finance managers","women",160,190,200,210
"SE11 Stockholm","1 central government","122 Human resource managers","men",40,50,40,40
"SE11 Stockholm","1 central government","122 Human resource managers","women",110,130,140,150
"SE11 Stockholm","1 central government","123 Administration and planning managers","men",640,520,500,520
"SE11 Stockholm","1 central government","123 Administration and planning managers","women",570,670,690,700
"SE11 Stockholm","1 central government","124 Information, communication and public relations managers","men",60,50,60,50
"SE11 Stockholm","1 central government","124 Information, communication and public relations managers","women",120,130,140,150
"SE11 Stockholm","1 central government","125 Sales and marketing managers","men",20,20,30,30
"SE11 Stockholm","1 central government","125 Sales and marketing managers","women",40,40,40,40
"SE11 Stockholm","1 central government","129 Administration and service managers not elsewhere classified","men",40,60,60,50
"SE11 Stockholm","1 central government","129 Administration and service managers not elsewhere classified","women",60,100,80,70
"SE11 Stockholm","1 central government","131 Information and communications technology service managers","men",180,190,200,190
"SE11 Stockholm","1 central government","131 Information and communications technology service managers","women",110,120,130,130
"SE11 Stockholm","1 central government","132 Supply, logistics and transport managers","men",0,0,0,0
"SE11 Stockholm","1 central government","132 Supply, logistics and transport managers","women",0,0,0,0
"SE11 Stockholm","1 central government","133 Research and development managers","men",80,90,110,130
