"sector","occuptional  (SSYK 2012)","sex","level of education","2014","2015","2016","2017","2018"
"0 all sectors","0000 All","men","primary and secondary education less than 9 years (ISCED97 1)",28600,28400,28100,28500,27900
"0 all sectors","0000 All","men","primary and secondary education 9-10 years (ISCED97 2)",184800,192800,188500,194900,196500
"0 all sectors","0000 All","men","upper secondary education, 2 years or less (ISCED97 3C)",457100,446800,438800,444200,444800
"0 all sectors","0000 All","men","upper secondary education 3 years (ISCED97 3A)",556300,588700,592300,613800,648000
"0 all sectors","0000 All","men","post-secondary education, less than 3 years (ISCED97 4+5B)",287400,295300,305400,321700,330000
"0 all sectors","0000 All","men","post-secondary education 3 years or more (ISCED97 5A)",396000,398400,424100,443300,460900
"0 all sectors","0000 All","men","post-graduate education (ISCED97 6)",32600,33400,34100,34100,34600
"0 all sectors","0000 All","men","no information about level of educational attainment",17100,22900,25500,34500,41900
"0 all sectors","0000 All","women","primary and secondary education less than 9 years (ISCED97 1)",24400,22700,24100,23900,26000
"0 all sectors","0000 All","women","primary and secondary education 9-10 years (ISCED97 2)",112400,116900,117400,116800,117400
"0 all sectors","0000 All","women","upper secondary education, 2 years or less (ISCED97 3C)",379600,374300,364300,358200,345700
"0 all sectors","0000 All","women","upper secondary education 3 years (ISCED97 3A)",500800,529700,550400,555400,566300
"0 all sectors","0000 All","women","post-secondary education, less than 3 years (ISCED97 4+5B)",305900,316600,329500,329200,336200
"0 all sectors","0000 All","women","post-secondary education 3 years or more (ISCED97 5A)",584300,613900,644000,668500,696700
"0 all sectors","0000 All","women","post-graduate education (ISCED97 6)",22000,23400,24300,24900,26500
"0 all sectors","0000 All","women","no information about level of educational attainment",7700,9600,10600,16100,17200
"0 all sectors","011 Commissioned armed forces officers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",170,330,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","post-secondary education 3 years or more (ISCED97 5A)",420,720,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","post-secondary education 3 years or more (ISCED97 5A)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","upper secondary education 3 years (ISCED97 3A)",180,150,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",780,350,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","post-secondary education 3 years or more (ISCED97 5A)",560,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","post-secondary education 3 years or more (ISCED97 5A)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","primary and secondary education 9-10 years (ISCED97 2)",140,100,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","upper secondary education, 2 years or less (ISCED97 3C)",150,110,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","upper secondary education 3 years (ISCED97 3A)",3600,2700,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","post-secondary education, less than 3 years (ISCED97 4+5B)",420,290,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","post-secondary education 3 years or more (ISCED97 5A)",120,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","upper secondary education 3 years (ISCED97 3A)",330,260,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","post-secondary education 3 years or more (ISCED97 5A)",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","031 Armed forces occupations, other ranks","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","men","post-secondary education, less than 3 years (ISCED97 4+5B)",370,310,..,340,..
"0 all sectors","111 Legislators and senior officials","men","post-secondary education 3 years or more (ISCED97 5A)",1300,970,1000,960,710
"0 all sectors","111 Legislators and senior officials","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","women","post-secondary education, less than 3 years (ISCED97 4+5B)",280,300,320,280,..
"0 all sectors","111 Legislators and senior officials","women","post-secondary education 3 years or more (ISCED97 5A)",1100,930,1200,1100,780
"0 all sectors","111 Legislators and senior officials","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","111 Legislators and senior officials","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","men","upper secondary education, 2 years or less (ISCED97 3C)",2700,4700,4200,3700,3600
"0 all sectors","112 Managing directors and chief executives","men","upper secondary education 3 years (ISCED97 3A)",3800,3300,4200,3400,..
"0 all sectors","112 Managing directors and chief executives","men","post-secondary education, less than 3 years (ISCED97 4+5B)",3400,3900,5000,4000,4400
"0 all sectors","112 Managing directors and chief executives","men","post-secondary education 3 years or more (ISCED97 5A)",6600,5700,7800,8100,8800
"0 all sectors","112 Managing directors and chief executives","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","women","post-secondary education, less than 3 years (ISCED97 4+5B)",660,720,..,960,..
"0 all sectors","112 Managing directors and chief executives","women","post-secondary education 3 years or more (ISCED97 5A)",1300,1900,2100,2300,1700
"0 all sectors","112 Managing directors and chief executives","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","112 Managing directors and chief executives","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","121 Finance managers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","121 Finance managers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","121 Finance managers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","121 Finance managers","men","upper secondary education 3 years (ISCED97 3A)",570,..,570,600,680
