"region","occupation (SSYK 2012)","age","sex","2017"
"SE01 Stockholm","011 Commissioned armed forces officers","16-24 years","men",1
"SE01 Stockholm","011 Commissioned armed forces officers","16-24 years","women",0
"SE01 Stockholm","011 Commissioned armed forces officers","25-29 years","men",7
"SE01 Stockholm","011 Commissioned armed forces officers","25-29 years","women",2
"SE01 Stockholm","011 Commissioned armed forces officers","30-34 years","men",45
"SE01 Stockholm","011 Commissioned armed forces officers","30-34 years","women",6
"SE01 Stockholm","011 Commissioned armed forces officers","35-39 years","men",44
"SE01 Stockholm","011 Commissioned armed forces officers","35-39 years","women",5
"SE01 Stockholm","011 Commissioned armed forces officers","40-44 years","men",39
"SE01 Stockholm","011 Commissioned armed forces officers","40-44 years","women",4
"SE01 Stockholm","011 Commissioned armed forces officers","45-49 years","men",33
"SE01 Stockholm","011 Commissioned armed forces officers","45-49 years","women",0
"SE01 Stockholm","011 Commissioned armed forces officers","50-54 years","men",38
"SE01 Stockholm","011 Commissioned armed forces officers","50-54 years","women",1
"SE01 Stockholm","011 Commissioned armed forces officers","55-59 years","men",52
"SE01 Stockholm","011 Commissioned armed forces officers","55-59 years","women",1
"SE01 Stockholm","011 Commissioned armed forces officers","60-64 years","men",23
"SE01 Stockholm","011 Commissioned armed forces officers","60-64 years","women",0
"SE01 Stockholm","021 Non-commissioned armed forces officers","16-24 years","men",2
"SE01 Stockholm","021 Non-commissioned armed forces officers","16-24 years","women",0
"SE01 Stockholm","021 Non-commissioned armed forces officers","25-29 years","men",67
"SE01 Stockholm","021 Non-commissioned armed forces officers","25-29 years","women",8
"SE01 Stockholm","021 Non-commissioned armed forces officers","30-34 years","men",69
"SE01 Stockholm","021 Non-commissioned armed forces officers","30-34 years","women",6
"SE01 Stockholm","021 Non-commissioned armed forces officers","35-39 years","men",31
"SE01 Stockholm","021 Non-commissioned armed forces officers","35-39 years","women",2
"SE01 Stockholm","021 Non-commissioned armed forces officers","40-44 years","men",15
"SE01 Stockholm","021 Non-commissioned armed forces officers","40-44 years","women",0
"SE01 Stockholm","021 Non-commissioned armed forces officers","45-49 years","men",17
