Utbildningsgrupp (SUN 2000),SUN 2000,2006 Samtliga,2006 Kvinnor,2006 Män,2007 Samtliga,2007 Kvinnor,2007 Män,2008 Samtliga,2008 Kvinnor,2008 Män,2009 Samtliga,2009 Kvinnor,2009 Män,2010 Samtliga,2010 Kvinnor,2010 Män,2011 Samtliga,2011 Kvinnor,2011 Män,2012 Samtliga,2012 Kvinnor,2012 Män,2013 Samtliga,2013 Kvinnor,2013 Män,2014 Samtliga,2014 Kvinnor,2014 Män,2015 Samtliga,2015 Kvinnor,2015 Män,2016 Samtliga,2016 Kvinnor,2016 Män,2017 Samtliga,2017 Kvinnor,2017 Män,2018 Samtliga,2018 Kvinnor,2018 Män
Samtliga utbildningsgrupper,Samtliga utbildningsgrupper,4820934,2376927,2444007,4838227,2384517,2453710,4847121,2389451,2457670,4856477,2394225,2462252,4862744,2397165,2465579,4870679,2401309,2469370,4883971,2408784,2475187,4910989,2421477,2489512,4953673,2440112,2513561,5007727,2464755,2542972,5087511,2499867,2587644,5157662,2532975,2624687,5217639,2562001,2655638
Allmän utbildning,Folkskoleutbildning och motsvarande                                                                 ,283046,126237,156809,261309,117476,143833,239788,108909,130879,218616,100616,118000,199808,93754,106054,183108,87986,95122,168316,82719,85597,157846,79425,78421,152330,78034,74296,148428,77184,71244,147190,76755,70435,146503,77004,69499,145587,77094,68493
Allmän utbildning,Grundskoleutbildning och motsvarande                                                                ,503851,211278,292573,502685,208499,294186,500825,205689,295136,498652,202879,295773,495289,199812,295477,488856,195409,293447,482979,191233,291746,475962,186526,289436,470236,182571,287665,465504,179226,286278,462793,177215,285578,456229,173860,282369,446960,170069,276891
Allmän utbildning,"Samhällsvetenskaplig, social och humanistisk gymnasieutbildning",264159,160777,103382,270317,162578,107739,276691,164860,111831,282890,167104,115786,288925,169200,119725,295390,171226,124164,301836,173219,128617,309480,175827,133653,317063,178146,138917,323433,179334,144099,329929,180423,149506,335977,181797,154180,339048,181366,157682
Allmän utbildning,Naturvetenskaplig gymnasieutbildning                                                                ,44004,13339,30665,45570,13559,32011,46830,13770,33060,47454,13935,33519,47771,14082,33689,47875,14119,33756,48219,14275,33944,48355,14414,33941,48427,14532,33895,48311,14663,33648,48002,14736,33266,48223,15031,33192,48544,15243,33301
Pedagogik och lärarutbildning,Gymnasial utbildning inom pedagogiska området                                                       ,3746,2006,1740,3781,2053,1728,3771,2078,1693,3798,2105,1693,3779,2102,1677,3731,2078,1653,3666,2068,1598,3961,2391,1570,4538,2963,1575,5157,3588,1569,5894,4277,1617,7017,5347,1670,8764,7039,1725
Pedagogik och lärarutbildning,"Minst 30 (nya) högskolepoäng inom pedagogik, ej examen                                              ",44541,31353,13188,46132,32146,13986,46250,32142,14108,47033,32777,14256,48096,33496,14600,46896,32400,14496,47190,32499,14691,47466,32471,14995,47121,32004,15117,47889,32526,15363,49708,33741,15967,51696,35216,16480,53871,36816,17055
Pedagogik och lärarutbildning,Förskollärarutbildning                                                                              ,72403,68529,3874,70901,67087,3814,69862,66078,3784,68837,65090,3747,67734,64027,3707,66894,63224,3670,66034,62425,3609,65544,62031,3513,65130,61692,3438,64702,61328,3374,64664,61364,3300,64470,61247,3223,64323,61140,3183
Pedagogik och lärarutbildning,Fritidspedagogutbildning                                                                            ,18890,14027,4863,18442,13632,4810,18116,13368,4748,17746,13055,4691,17385,12772,4613,17068,12516,4552,16688,12223,4465,16285,11915,4370,16019,11708,4311,15859,11590,4269,15664,11437,4227,15526,11317,4209,15429,11214,4215
Pedagogik och lärarutbildning,Lärarutbildning för grundskolans lägre åldrar                                                       ,61848,51545,10303,64297,53933,10364,65941,55624,10317,67371,57103,10268,68588,58449,10139,70910,60812,10098,71363,61456,9907,71706,62053,9653,72310,62837,9473,72008,62759,9249,71198,62225,8973,70596,61779,8817,70414,61603,8811
Pedagogik och lärarutbildning,"Ämneslärarutbildning, allmänna ämnen                                                                ",52253,31848,20405,53503,33026,20477,55325,34441,20884,55579,34884,20695,55960,35393,20567,57183,36377,20806,57254,36584,20670,57588,37048,20540,58245,37686,20559,59041,38360,20681,59713,38849,20864,59972,39070,20902,60184,39259,20925
Pedagogik och lärarutbildning,Utbildning för lärare i praktiskt/estetiskt ämne                                                    ,25082,14723,10359,24410,14253,10157,23831,13826,10005,23528,13582,9946,23007,13267,9740,22600,12994,9606,22129,12737,9392,21626,12439,9187,21193,12171,9022,20847,11987,8860,20373,11741,8632,19862,11471,8391,19353,11178,8175
Pedagogik och lärarutbildning,Speciallärarutbildning                                                                              ,14327,12267,2060,14254,12313,1941,13997,12150,1847,13565,11875,1690,13040,11499,1541,12558,11150,1408,12204,10935,1269,11785,10639,1146,11347,10299,1048,11072,10111,961,11192,10259,933,11152,10278,874,11436,10567,869
Pedagogik och lärarutbildning,Yrkeslärarutbildning                                                                                ,16014,9014,7000,15242,8543,6699,14683,8210,6473,14078,7862,6216,13576,7542,6034,12731,6949,5782,12035,6550,5485,11421,6173,5248,10919,5859,5060,10450,5550,4900,10053,5297,4756,9620,5065,4555,9297,4860,4437
Pedagogik och lärarutbildning,Övrig eftergymnasial utbildning  inom pedagogik och lärarutbildning,20558,14415,6143,22098,15548,6550,23468,16665,6803,24851,17797,7054,25887,18659,7228,26965,19472,7493,28031,20277,7754,29221,21117,8104,30867,22338,8529,32592,23515,9077,35091,25348,9743,36710,26594,10116,38242,27802,10440
Humaniora och konst,Estetisk utbildning på gymnasial nivå                                                               ,31363,19554,11809,33699,21251,12448,36033,22954,13079,38410,24708,13702,40905,26657,14248,43724,28734,14990,46790,31060,15730,49763,33238,16525,53162,35622,17540,56717,38064,18653,60431,40580,19851,64339,43239,21100,67291,45285,22006
Humaniora och konst,Gymnasial utbildning för medieproduktion                                                            ,21125,10009,11116,22653,10658,11995,24268,11419,12849,25853,12202,13651,27390,12954,14436,28988,13773,15215,30845,14683,16162,32546,15496,17050,34367,16457,17910,36334,17583,18751,38160,18580,19580,40056,19690,20366,41335,20480,20855
Humaniora och konst,"Minst 30 (nya) högskolepoäng inom humaniora/konst, ej examen                                        ",52640,33243,19397,53775,33612,20163,54677,33833,20844,55738,34140,21598,56713,34307,22406,57514,34501,23013,58595,34767,23828,59509,35060,24449,60600,35388,25212,61495,35566,25929,62411,35961,26450,63190,36118,27072,64166,36552,27614
Humaniora och konst,Humanistisk högskoleutbildning (minst 3 år)                                                         ,28729,19279,9450,29292,19611,9681,29682,19917,9765,30020,20152,9868,30428,20466,9962,31249,21017,10232,31813,21436,10377,32250,21733,10517,33106,22284,10822,34176,23012,11164,35637,23939,11698,37024,24964,12060,38122,25774,12348
Humaniora och konst,Konstnärlig eftergymnasial utbildning                                                               ,19978,10720,9258,20902,11342,9560,21752,11893,9859,22703,12536,10167,23830,13251,10579,24607,13777,10830,25445,14380,11065,26762,15237,11525,28348,16266,12082,29982,17262,12720,31724,18239,13485,32987,19102,13885,34346,19959,14387
Humaniora och konst,"Medieproduktion, eftergymnasial utbildning                                                          ",5733,2674,3059,6236,2908,3328,6815,3154,3661,7455,3443,4012,8171,3745,4426,8846,4044,4802,9418,4324,5094,10058,4620,5438,10639,4878,5761,11308,5224,6084,12018,5597,6421,12644,5966,6678,13257,6326,6931
Humaniora och konst,Teologisk eftergymnasial utb (minst 3 år)                                                           ,6484,2586,3898,6524,2668,3856,6497,2719,3778,6516,2769,3747,6534,2841,3693,6550,2886,3664,6538,2938,3600,6514,2966,3548,6446,2988,3458,6398,2999,3399,6369,3029,3340,6337,3089,3248,6277,3110,3167
Humaniora och konst,Övrig eftergymnasial utbildning inom humaniora och konst                                            ,5455,3393,2062,5686,3527,2159,5947,3656,2291,6265,3816,2449,6508,3958,2550,6749,4097,2652,7028,4244,2784,7485,4531,2954,8012,4811,3201,8435,5029,3406,8952,5288,3664,9303,5467,3836,9269,5475,3794
"Samhällsvetenskap, juridik, handel, administration",Handelsgymnasium / ekonomisk linje/program på gymnasiet                                             ,127380,75520,51860,124564,73567,50997,121510,71486,50024,117876,69060,48816,114495,66743,47752,110867,64323,46544,107279,61902,45377,103570,59395,44175,100197,57243,42954,96914,55272,41642,93423,53222,40201,89858,51135,38723,86753,49492,37261
"Samhällsvetenskap, juridik, handel, administration",Yrkesinriktad utbildning på gymnasial nivå inom handel och administration                           ,315719,227220,88499,309550,221550,88000,301761,214583,87178,294077,207607,86470,285005,199864,85141,277530,193239,84291,270887,187345,83542,264684,181637,83047,259221,176587,82634,255091,172805,82286,251021,169042,81979,246278,164984,81294,241012,160785,80227
"Samhällsvetenskap, juridik, handel, administration","Minst 30 (nya) högskolepoäng inom samhällsv/ekonomi/juridik, ej examen                              ",105757,60063,45694,108969,61860,47109,112075,63591,48484,115884,65745,50139,119926,68034,51892,123225,69881,53344,125875,71258,54617,128024,72492,55532,129541,73396,56145,129970,73485,56485,130952,73796,57156,133191,75031,58160,135743,76389,59354
"Samhällsvetenskap, juridik, handel, administration",Biblioteks- och informationsvetenskaplig högskoleutbildning (minst 3 år)                            ,5918,4685,1233,6049,4794,1255,6182,4889,1293,6257,4946,1311,6243,4922,1321,6238,4913,1325,6140,4826,1314,6171,4845,1326,6156,4832,1324,6208,4892,1316,6230,4938,1292,6253,4959,1294,6272,4982,1290
"Samhällsvetenskap, juridik, handel, administration",Ekonomutbildning (högskoleutbildning minst 3 år)                                                    ,89683,41162,48521,95140,44585,50555,99958,47699,52259,104502,50657,53845,108874,53406,55468,114264,56687,57577,119389,59951,59438,124669,63326,61343,130378,66896,63482,136403,70824,65579,142383,74354,68029,148128,77994,70134,153910,81715,72195
"Samhällsvetenskap, juridik, handel, administration","Högskoleutbildning för organisation, administration, förvaltning (minst 3 år)                       ",14630,8838,5792,14509,8758,5751,14436,8722,5714,14289,8646,5643,14138,8604,5534,14039,8630,5409,13976,8676,5300,13960,8767,5193,13876,8833,5043,14027,9035,4992,14076,9183,4893,14119,9323,4796,14213,9491,4722
"Samhällsvetenskap, juridik, handel, administration",Juridisk högskoleutbildning (minst 3 år)                                                            ,30948,14593,16355,32037,15500,16537,32958,16371,16587,33797,17221,16576,34523,17995,16528,35459,18884,16575,36598,19928,16670,37725,20867,16858,39081,21887,17194,40595,22977,17618,42475,24181,18294,43679,25135,18544,45211,26250,18961
