"sector","occuptional  (SSYK 2012)","sex","level of education","2014","2015","2016","2017","2018"
"0 all sectors","011 Commissioned armed forces officers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",36600,34600,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","post-secondary education 3 years or more (ISCED97 5A)",40100,38700,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","men","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","upper secondary education 3 years (ISCED97 3A)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","post-secondary education, less than 3 years (ISCED97 4+5B)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","post-secondary education 3 years or more (ISCED97 5A)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","post-graduate education (ISCED97 6)",..,..,..,..,..
"0 all sectors","011 Commissioned armed forces officers","women","no information about level of educational attainment",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","primary and secondary education less than 9 years (ISCED97 1)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","primary and secondary education 9-10 years (ISCED97 2)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","upper secondary education, 2 years or less (ISCED97 3C)",..,..,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","upper secondary education 3 years (ISCED97 3A)",25500,24800,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","post-secondary education, less than 3 years (ISCED97 4+5B)",29300,28500,..,..,..
"0 all sectors","021 Non-commissioned armed forces officers","men","post-secondary education 3 years or more (ISCED97 5A)",35700,..,..,..,..
